lat [deg],lon [deg]
-82.56742554530686,-170.62367722244477
-91.99327656325882,-179.3170589586653
-86.1873406247556,-175.50403960065134
-82.69339032152583,-172.28194815432414
-94.55115316351731,-172.62199387877135
-83.6312976035376,-177.92041192303003
-86.33598358027665,-174.76901137766174
-89.1421117258817,-176.61408700998527
-84.28887696467886,-176.47556339891378
-83.80250851329205,-174.21045379500904
-85.0984610732169,-173.39127697960984
-87.83516464204482,-178.18315749510583
-92.1732221459269,-174.60866177378884
-85.4437282474031,-174.05895694751337
-87.0770276264406,-178.0841692730631
-81.76299482993434,-174.07966286125912
-84.4126311887694,-180.8858861328982
-80.30109440822741,-175.38507072808807
-79.03285557907476,-173.3072296797579
-84.76856669161047,-168.6229605957487
-78.88749074726495,-164.26551030744193
-86.88734541022146,-164.4396913520349
-83.8076266683138,-162.02292801776252
-85.59659010142565,-166.20535255232375
-85.97777255074125,-162.45316699782262
-88.66700921833336,-167.32593933029077
-84.72376443725715,-164.85297347419058
-84.99256197026213,-161.51521109707372
-86.14418712894884,-168.31995271041762
-88.86639621361992,-161.20906136756497
-79.14994563738473,-170.09502925153268
-84.58248504246782,-164.16124405480932
-79.24200715675421,-161.5249448180153
-83.824467323378,-166.7855411744386
-86.04266920617785,-167.08160488497177
-82.98808154253803,-163.40587987506973
-82.24187124224952,-167.40307205304163
-93.38410928502495,-169.132696100203
-81.18590905879887,-167.74655841049946
-85.75488367782393,-162.71467243799765
-84.3894580423158,-155.82605489268863
-88.47884710078017,-154.06891109203525
-83.77952534718153,-149.72718825822582
-88.09436385646212,-151.0051619081287
-84.89757258061762,-158.98645557327532
-88.63720057567811,-152.42652755862972
-82.95207005944648,-152.43402617777502
-84.2227859342864,-154.77227482356204
-80.8211178543625,-157.57953888403551
-86.57530602777238,-151.73941695292004
-88.09169355203753,-157.55795693600737
-87.96573469264132,-155.42272284082767
-89.61737083176801,-157.11376607451766
-81.61925020638566,-152.69403507926788
-86.96608551408573,-152.70720148723655
-79.70107255570379,-152.16705589527885
-84.83166990924616,-152.05853346436731
-88.68019029766741,-155.25699731684222
-82.77486913510367,-155.68530057653894
-87.53807519674804,-154.71489495290834
-81.59147617361774,-144.48783098990396
-86.137538708183,-145.13359685884626
-84.80915444565592,-146.12970099399132
-89.97943038917781,-145.99092448353545
-86.05977730874842,-144.25825678018745
-80.65161797082261,-148.95583408257056
-88.21486091425814,-143.35289206608527
-85.94144409714268,-149.03532455645316
-91.52969430763001,-143.53441232634643
-84.17965025195126,-144.63295056155434
-87.99319953534881,-139.89087138164894
-87.49226225010001,-144.16183602990708
-87.6223803825633,-141.78065951966155
-84.33976637059443,-142.46044433552697
-82.19789116233264,-146.6144164466017
-86.05700587994237,-150.2652775419987
-84.92175113307937,-148.44586436068704
-85.23786057940016,-142.49967584379124
-95.01464326269677,-142.08505915626415
-79.81618676225082,-141.99698920111962
-79.35933510986916,-130.82689915108574
-80.94695704881093,-136.24074883981987
-86.52507426178839,-136.06174415736803
-88.01745574482918,-137.22784276786558
-81.1951388642536,-136.6397785473174
-80.06906629794754,-129.28751271267154
-83.2139423590821,-133.4212818591125
-89.47990085943827,-136.87552493098934
-83.50368589664001,-134.07706096635383
-90.11413614355122,-133.3259886456873
-86.68057543690153,-133.14213379751675
-86.70182005307115,-136.31767562133592
-78.07933922702006,-139.63290928019256
-83.69878385320106,-137.42846954863418
-81.82842614746964,-131.49673890331354
-87.70651543838942,-133.97260008218603
-87.10432896770531,-135.21942056536966
-86.03479115159902,-133.78671190800898
-83.71748792432489,-133.10016594236623
-87.98171064744405,-135.22938534517536
-84.0171824831895,-121.3058430270752
-86.03862864059725,-127.01504205293428
-81.54823055723092,-123.48627980830565
-86.42057928741677,-125.97975807641122
-87.40491985316466,-125.89819356138214
-86.16636119616837,-123.02779385315665
-85.23870133634625,-122.27263034411992
-88.67299047780176,-126.20311151399879
-81.30442226490058,-126.23864196723977
-81.62237303677944,-125.13837540468327
-84.65991806539752,-125.38723167733094
-85.32540812434118,-126.31428691417969
-82.0120003786359,-126.35583161851184
-88.0040794730231,-129.1116875976262
-85.41384266457044,-130.13521577603365
-88.07853714614338,-130.0447133191526
-86.22224436563619,-120.35161750208229
-79.80108601940347,-124.94048764927565
-86.82947467712819,-124.11081706001046
-85.73214581474613,-121.67625253145286
