lat [deg],lon [deg],,
0.22105,-50.22159,,
0.04723,-50.67612,,
0.24366,-49.56293,,
0.19705,-50.70483,,
0.68691,-50.29487,,
0.24074,-50.66237,,
0.76259,-50.10762,,
0.18538,-50.71211,,
0.1239,-50.73624,,
0.26856,-50.61249,,
0.21563,9.53956,,
0.20708,9.55654,,
0.17017,9.66357,,
0.16583,9.6722,,
0.2155,9.53983,,
1.61732,101.81121,,
1.27384,102.17889,,
0.88688,102.38205,,
0.46443,103.14792,,
3.45634,117.52838,,
3.99989,117.57872,,
4.83103,-55.03943,,
4.86391,-54.88128,,
4.60774,-55.11763,,
4.7238,-55.15504,,
5.00738,-55.14724,,
4.95151,-53.03417,,
4.89195,-52.99627,,
6.27656,-7.1451,,
6.33522,-7.08823,,
6.28453,-7.09845,,
7.99991,-0.13775,,
6.69545,-0.38871,,
6.6572,-0.23437,,
7.73865,0.21658,,
5.38591,5.50032,,
5.41437,5.50111,,
7.51905,0.08573,,
6.50571,3.45024,,
7.76523,0.00012,,
7.22255,5.95566,,
7.78287,0.1815,,
6.84889,0.14912,,
7.41092,0.21488,,
7.61282,0.0449,,
6.67025,0.193,,
7.69215,5.9667,,
6.97611,0.16436,,
6.53605,0.0008,,
7.19862,0.20534,,
7.14288,0.17664,,
6.98886,0.16713,,
6.55897,0.02722,,
4.49782,6.99499,,
4.8286,8.28259,,
4.44203,7.13135,,
4.68321,8.52726,,
4.7478,8.35206,,
6.4818,12.72073,,
6.45757,12.76056,,
8.39395,-78.2982,,
8.58065,-13.02423,,
11.89792,-15.21644,,
8.13748,-0.45991,,
8.53563,-0.86986,,
8.35538,-0.73893,,
8.19459,-0.55506,,
8.44,-2.35265,,
8.40954,-2.31237,,
9.99347,6.8756,,
10.06331,6.89922,,
9.95786,6.8612,,
8.93264,13.85771,,
8.7822,13.99822,,
8.88072,13.91379,,
8.97423,13.71555,,
8.93278,13.85784,,
11.80239,34.41132,,
11.97485,37.11888,,
11.45891,106.37604,,
9.49218,125.51919,,
12.3843,-86.60981,,
12.02159,-83.73739,,
12.77336,-83.5775,,
12.49932,-83.68978,,
13.23005,-10.26001,,
13.1759,-10.3483,,
12.98449,14.38944,,
12.97335,14.38117,,
15.82941,94.83067,,
15.9141,95.08748,,
15.92303,95.08855,,
15.89867,95.08466,,
14.71613,99.04413,,
15.02594,98.52482,,
15.19419,105.42854,,
18.32437,-96.53604,,
18.243,-96.50798,,
16.09206,-92.5139,,
17.15738,-93.64627,,
18.83573,32.05872,,
18.87654,32.11545,,
16.57382,79.31443,,
16.08254,78.00011,,
16.00392,78.31245,,
19.00821,78.19267,,
19.89055,85.58758,,
19.57849,85.18399,,
19.72733,85.37321,,
19.7765,85.49525,,
17.94696,100.49069,,
18.74046,102.51931,,
16.67321,103.45757,,
18.60156,102.58924,,
16.76396,102.57651,,
18.56706,102.66843,,
18.55261,102.61791,,
24,-98.74506,,
23.11179,32.79516,,
23.56016,32.71907,,
22.71533,32.07262,,
22.66432,31.99471,,
22.75211,32.15652,,
22.2841,31.59185,,
22.12348,31.39264,,
23.39064,32.95459,,
23.25092,32.69597,,
23.68097,32.89226,,
22.43184,31.76495,,
23.09679,32.72737,,
23.73111,32.91753,,
22.61618,31.9253,,
23.3745,32.91365,,
22.59803,31.92603,,
23.70185,32.92947,,
23.29239,32.91297,,
22.46243,31.7606,,
23.12992,32.77096,,
23.83423,68.45631,,
23.85115,68.49042,,
23.73396,68.53414,,
22.34485,76.78804,,
22.05533,76.64821,,
22.32781,76.78506,,
22.25442,76.65402,,
22.22459,76.62937,,
