lat [deg],lon [deg]
75.33958333,-50.17708333
67.84375,-38.06041667
66.6125,-41.33958333
78.65416667,-30.11458333
62.68333333,-45.16458333
62.59166667,-48.46041667
69.59791667,-41.425
71.50208333,-32.73958333
61.67916667,-43.16875
78.3625,-71.27708333
80.05208333,-34.36875
65.35208333,-48.37708333
79.61458333,-50.20625
65.62291667,-42.68958333
62.57916667,-49.57916667
70.36875,-36.22708333
79.57708333,-61.50208333
66.45833333,-39.66458333
81.42916667,-33.10416667
71.71875,-28.43958333
75.89791667,-56.46875
74.35,-30.14791667
69.44791667,-46.28541667
70.575,-46.14375
66.57291667,-37.70625
76.18958333,-65.28541667
64.3875,-43.40416667
75.34375,-21.80416667
74.81666667,-33.99166667
62.76458333,-49.51041667
76.77708333,-33.06458333
73.68958333,-38.65208333
73.34375,-35.98958333
71.19791667,-39.33125
72.21875,-29.04375
74.17083333,-28.9625
62.92291667,-48.31458333
68.58541667,-34.18333333
75.91875,-49.52708333
68.95625,-39.94375
66.8375,-36.27708333
75.30416667,-43.89583333
64.03541667,-47.47916667
71.49375,-33.81458333
64.33541667,-50.80416667
66.49166667,-37.63541667
79.65208333,-45.51041667
72.55208333,-23.41458333
77.61666667,-35.78333333
81.29583333,-17.02291667
81.73541667,-43.53541667
63.64583333,-50.84375
76.38333333,-22.57291667
75.77291667,-27.10625
74.19166667,-52.99166667
81.60416667,-49.1625
80.30625,-20.48541667
66.65,-38.87291667
67.87708333,-43.15625
68.34583333,-31.56041667
62.9375,-44.58541667
63.98333333,-42.34166667
74.74791667,-54.30208333
73.21666667,-42.8
71.10625,-49.925
71.53125,-23.62291667
77.54791667,-29.18541667
77.8125,-26.71458333
69.93958333,-45.08958333
72.68333333,-41.47708333
78.93333333,-56.26875
74.2875,-50.12708333
80.8875,-60.40208333
70.89791667,-45.61875
60.75208333,-44.59375
72.73333333,-44.88541667
65.66458333,-44.01458333
66.19375,-48.62708333
69.16458333,-45.99583333
61.89375,-48.36041667
72.03958333,-38.78541667
79.79583333,-63.72916667
80.05625,-24.20625
77.95625,-57.47083333
66.92916667,-43.62708333
66.46875,-38.30208333
62.66666667,-48.31041667
61.11041667,-47.24375
68.01458333,-34.87916667
71.32708333,-27.63125
71.07291667,-24.28125
62.15,-48.11666667
64.56041667,-47.90208333
70.67291667,-43.21875
77.71875,-27.41458333
76,-47.55833333
79.04166667,-47.73541667
64.78125,-51.62291667
70.89166667,-34.25833333
76.96041667,-26.60625
-21.62291667,-62.08958333
-23.40208333,-64.39791667
-31.89375,-53.59791667
-12.17916667,-40.475
-26.66875,-52.94583333
-37.48333333,-62.81458333
-41.775,-66.13958333
-36.08541667,-71.90833333
-32.74791667,-58.03958333
-26.6625,-56.08541667
-33.38125,-56.41041667
-17,-46.3375
-39.7375,-72.80625
-18.27291667,-40.01041667
-2.535416667,-45.70208333
-38.20625,-72.12708333
-23.69791667,-58.66875
-23.65625,-48.08125
-42.10625,-71.72708333
-16.50208333,-57.80625
-26.49375,-56.33125
-22.075,-68.81458333
-27.14583333,-64.92083333
-37.64166667,-72.70416667
-25.31875,-59.11458333
-37.05625,-65.84166667
-14.71875,-56.88125
-27.5875,-55.0375
-35.07916667,-69.00833333
-28.64375,-51.33125
-8.5625,-40.4875
-40.50625,-69.17708333
-32.18958333,-67.87708333
-17.29375,-69.73125
-39.60416667,-70.625
-17.22083333,-46.83125
-14.54791667,-41.98541667
-39.99166667,-66.87083333
-34.0625,-67.825
-14.97916667,-40.97916667
-27.07708333,-65.49375
-5.7875,-43.6375
-22.29791667,-68.23125
-43.38125,-70.4375
-32.44375,-62.86041667
-28.84583333,-68.78541667
-17.85416667,-57.79375
-7.15625,-46.48958333
-28.66041667,-67.53125
-27.45625,-67.32291667
-8.29375,-38.47708333
-10.96458333,-39.99791667
-26.30625,-53.98541667
-16.87708333,-46.70416667
-5.247916667,-38.08541667
-31.25625,-65.51875
-35.5625,-72.40416667
-28.24375,-62.35416667
-36.16875,-67.19791667
-25.07083333,-49.55208333
-28.81875,-69.46458333
-36.8125,-62.2875
-35.13125,-61.02291667
-18.85833333,-42.85833333
-24.6625,-51.83958333
-26.43125,-62.40208333
-52.20625,-73.91875
-32.11458333,-59.25208333
-52.9375,-72.4625
-45.11458333,-70.81875
-15.58333333,-41.57291667
-24.91041667,-63.575
-7.195833333,-38.05208333
-10.22916667,-40
-10.58333333,-37.39583333
-30.94375,-69.56041667
-30.67916667,-56.95208333
-32.48541667,-63.04166667
-29.47291667,-65.65625
-8.26875,-41.32708333
-32.84375,-58.08958333
-37.1125,-72.12291667
-23.91875,-56.35625
-8.51875,-40.41875
-4.13125,-40.47916667
-24.94583333,-59.20416667
-24.44583333,-55.86458333
-19.53958333,-68.39791667
-18.36458333,-42.54375
-9.185416667,-43.78541667
-5.825,-43.25
-17.1375,-53.71041667
-22.77916667,-67.9875
-30.13958333,-58.50625
-42.07291667,-73.87708333
-48.16041667,-67.44375
-27.37291667,-57.38541667
-42.09791667,-73.93333333
-18.19791667,-52.56458333
-18.76875,-50.59375
20.8375,16.12916667
9.770833333,-9.589583333
21.24583333,14.14583333
-27.38541667,25.45416667
15.56875,25.07291667
-4.86875,27.68958333
15.70625,14.06041667
-23.70625,31.62291667
-7.697916667,16.95416667
30.31666667,26.27916667
6.735416667,40.25208333
-0.785416667,24.48958333
21.91875,-10.12708333
-20.69375,31.82708333
10.26875,12.56458333
-3.641666667,22.83333333
10.11875,11.47291667
7.68125,35.53125
-10.62916667,19.58333333
15.73541667,4.997916667
8.95625,11.86458333
9.714583333,30.59791667
18.52708333,12.9375
2.74375,39.62708333
14.9125,40.55208333
-0.185416667,20.12916667
-23.78125,27.47291667
-16.06875,48.70208333
-5.985416667,22.3125
-7.770833333,17.46458333
-10.78333333,17.19583333
6.260416667,7.877083333
3.80625,14.09375
-27.24375,16.31458333
13.05416667,12.46666667
-5.64375,36.69375
26.85,-7.26875
-24.80416667,16.28958333
32.05416667,3.5125
5.279166667,21.97916667
-9.41875,22.9375
30.74791667,28.68333333
29.14791667,20.08125
-3.054166667,14.025
17.50625,35.35208333
22.75416667,16.41666667
1.272916667,19.29583333
5.920833333,18.15625
21.06458333,16.83958333
-7.9,14.31875
-12.74166667,24.46458333
-0.395833333,9.3375
34.78541667,-3.227083333
-0.660416667,38.93125
12.1625,-0.627083333
22.19583333,-11.49166667
-10.8875,35.13333333
-13.2125,30.53541667
6.052083333,17.11666667
-18.35208333,15.32291667
-2.98125,37.07916667
12.89791667,30.22291667
9.216666667,46.31041667
22.78125,-9.225
-31.225,20.05
16.01875,-13.37708333
19.85625,25.58333333
-2.40625,25.36875
29.27291667,27.98541667
25.28125,14.24791667
7.54375,26.96875
29.16041667,8.064583333
12.6875,7.654166667
8.677083333,10.48958333
22.53541667,4.6
20.63125,5.570833333
3.452083333,10.375
1.20625,32.35208333
5.039583333,-6.997916667
9.45625,-10.00416667
23.08125,-4.110416667
-26.85,32.48333333
16.14791667,-1.210416667
-18.28958333,29.8875
4.677083333,42.8125
28.16041667,2.54375
30.98958333,5.99375
16.65416667,-13.575
15.77916667,-0.04375
8.797916667,39.89375
-20.56041667,17.87708333
13.23541667,22.53958333
26.95208333,22.33541667
21.09375,14.37708333
5.75,9.260416667
7.877083333,23.83541667
30.63958333,7.602083333
10.36875,13.09375
12.02083333,-13.56666667
-2.435416667,11.30625
-27.42916667,140.3
8.652083333,125.9479167
1.83125,113.2604167
-7.735416667,140.70625
-4.922916667,151.84375
0.566666667,102.2125
-29.2125,150.5
-5.808333333,141.9520833
-31.48125,116.73125
-6.427083333,139.0104167
-19.83125,122.0645833
0.23125,114.4125
17.35208333,120.7333333
-2.791666667,138.9041667
-10.47083333,150.3958333
-0.408333333,109.1416667
-2.914583333,106.56875
-18.45,136.5625
-7.839583333,140.88125
-18.15416667,134.6729167
-6.46875,139.10625
-0.604166667,113.5416667
-32.43125,138.3125
-8.208333333,138.7354167
1.2,117.1208333
-26.53333333,143.1958333
-23.62708333,132.75625
-2.454166667,105.5041667
-5.027083333,141.68125
-26.00416667,143.7458333
9.614583333,122.5604167
-2.079166667,121.2395833
-3.835416667,139.0229167
-18.56041667,129.7729167
1.160416667,98.98958333
-22.56458333,141.8833333
-30.20833333,130.66875
1.064583333,110.4145833
-1.629166667,101.4916667
-24.34166667,141.5791667
-1.347916667,131.45625
-6.485416667,142.125
-5.85625,155.0166667
3.85625,116.40625
-8.225,147.4125
4.40625,115.7354167
-5.322916667,151.2875
-3.672916667,134.7604167
-3.98125,144.3770833
-3.497916667,141.5270833
-5.28125,119.7270833
-5.427083333,142.45625
-29.48958333,136.9145833
-23.6125,122.9166667
-22.91875,148.6479167
-41.8,172.6125
-4.527083333,105.13125
-12.99791667,142.5458333
-2.047916667,110.1645833
-6.077083333,141.5104167
1.577083333,114.3979167
-42.03125,148.0729167
-33.13333333,122.825
2.620833333,112.83125
-21.12083333,120.4875
5.752083333,117.23125
-21.30208333,141.7604167
-44.58958333,169.40625
-0.3,112.4833333
-19.89791667,146.76875
4.51875,115.1479167
1.097916667,121.38125
-35.87083333,146.6125
-20.13958333,138.78125
-20.4375,131.1708333
2.110416667,111.8875
1.5,111.33125
-39.30833333,176.925
1.858333333,115.8208333
1.695833333,112.0854167
13.31875,120.7875
-3.039583333,113.7770833
-1.589583333,132.41875
-3.860416667,144.4354167
5.004166667,96.3625
-38.2625,177.1291667
-1.61875,110.3729167
7.797916667,126.1645833
-6.6375,144.1229167
-8.69375,117.0666667
-7.20625,140.25625
-17.96875,138.11875
3.76875,114.3729167
3.135416667,116.0395833
-5.964583333,140.9729167
-38.86875,175.8395833
-4.835416667,141.6020833
3.695833333,98.33541667
-6.025,140.3729167
2.685416667,111.6895833
-5.8875,-73.77291667
9.664583333,-68.19791667
-2.127083333,-64.48541667
3.13125,-73.72291667
-7.185416667,-47.11458333
-3.760416667,-50.12291667
1.820833333,-72.22083333
7.85,-72.28333333
5.672916667,-68.76041667
-9.997916667,-58.40416667
-0.502083333,-66.53125
5.185416667,-68.83958333
-14.58958333,-48.25625
10.5125,-73.9875
-2.595833333,-64.49375
-1.454166667,-61.40416667
1.26875,-67.76041667
3.40625,-68.23125
-1.877083333,-59.96041667
-1.820833333,-53.85
-13.23541667,-70.20208333
-15.04791667,-54.5375
-8.258333333,-61.975
-9.272916667,-75.13541667
-8.533333333,-60.83541667
-6.614583333,-53.04375
-8.014583333,-61.40833333
4.875,-62.74583333
-6.577083333,-64.84375
8.027083333,-72.26875
4.56875,-61.30833333
-9.720833333,-64.77708333
-4.16875,-52.04166667
-3.06875,-76.47291667
-3.41875,-50.81458333
-3.2375,-62.13541667
-7.81875,-52.21666667
-13.76041667,-71.50625
4.977083333,-76.84791667
-12.51666667,-69.71875
-3.69375,-77.46458333
1.266666667,-50.37083333
-9.866666667,-56.76666667
-0.297916667,-71.81458333
7.102083333,-75.83541667
0.372916667,-77.63958333
5.377083333,-67.31458333
8.266666667,-72.46041667
-14.42083333,-54.45
9.50625,-66.98125
