lat [deg],lon [deg]
21.39416667,-157.749361
21.4973611,-157.9807222
21.52591667,-158.0284167
21.5523611,-158.0655833
22.17583333,-159.5984722
22.21072222,-159.4759444
27.0389222,-81.0714972
27.0964472,-81.0091722
27.5909972,-80.6790194
27.81023889,-82.7203611
27.87277778,-81.8016667
27.87388889,-81.8052778
28.053175,-82.4740111
28.08682987,-82.6937554
28.15001585,-81.4409055
28.18194444,-82.1852778
28.30806625,-81.5245174
28.36639716,-81.59868518
28.3708417,-81.5289619
28.38917437,-81.52535068
28.42639484,-81.6086852
28.59249809,-81.8225775
28.61610787,-81.8659118
28.643329,-81.87230109
28.6441623,-81.87230109
28.67888315,-81.8845239
28.67943868,-81.88452388
28.68878333,-81.3961583
28.71499294,-81.8842464
28.71582624,-81.8839687
28.72304997,-81.6847976
28.8711111,-81.7844444
29.0491611,-95.4775222
29.0811111,-81.8808333
29.25361389,-95.5085917
29.30452778,-89.597
29.34527778,-99.7488889
29.43025,-91.3338889
29.4742722,-90.0066056
29.50858114,-81.80480679
29.51745517,-95.178544
29.59305556,-98.5991667
29.63583333,-92.6041667
29.68083333,-91.4705556
29.70409736,-91.3728854
29.70437513,-91.3739966
29.7230092,-95.7671718
29.8,-81.55
29.8357824,-95.6257783
29.87633426,-95.0938189
29.8897222,-85.2547222
29.92105823,-95.840229
29.9415,-91.0232222
29.9511111,-92.1563611
29.9622222,-93.5105556
29.9835356,-91.5251136
30.07,-92.8788611
30.07075759,-91.8290058
30.07607343,-81.86371139
30.08527778,-91.5988889
30.10055556,-90.6308333
30.10158889,-90.7364889
30.10655556,-91.3854167
30.14186928,-92.0756783
30.1707532,-90.9187092
30.17647778,-97.5869167
30.19963889,-90.12275
30.2174229,-91.9928975
30.219367,-91.955952
30.2274186,-90.8995425
30.23741844,-90.8700972
30.26944444,-90.9169444
30.2754733,-90.7792616
30.2974169,-90.88370919
30.29788889,-89.7022306
30.30130578,-89.83062149
30.30769444,-90.6087222
30.32125,-91.0207222
30.32138889,-91.0209444
30.323527,-91.0181576
30.3326939,-90.8520419
30.33888889,-91.7325
30.34047129,-90.9173216
30.35852615,-91.1081603
30.36825387,-91.9876184
30.38241445,-91.0942712
30.38349444,-97.6020611
30.4049139,-91.1034382
30.41746058,-81.69648758
30.41796914,-91.0914935
30.4184361,-89.0825028
30.4407463,-91.044548
30.44333889,-81.6682
30.44369444,-90.3345833
30.44446855,-91.1431618
30.44838056,-81.5182611
30.45494167,-81.59688889
30.4625,-89.695
30.46938889,-97.4634722
30.47466944,-87.8026444
30.47638889,-90.0894444
30.48213429,-91.1281616
30.48213676,-90.0389644
30.4941111,-90.1702222
30.49963635,-90.0845216
30.50574466,-91.0401038
30.51290556,-97.6864361
30.51825089,-87.4627577
30.5429659,-91.020659
30.55827126,-91.0982722
30.56102103,-91.0209368
30.56602634,-91.8315047
30.58768705,-91.0248259
30.5910972,-88.9068417
30.59629809,-91.0942722
30.63713636,-87.6072077
30.63935956,-88.3930674
30.64324138,-91.09455
30.6436856,-91.0074645
30.6707406,-90.9601024
30.70405,-84.8632556
30.70583333,-89.8463889
30.72666667,-93.095
30.72907467,-90.48425869
30.73629484,-90.84176699
30.85935514,-95.39883
30.93768029,-90.4903728
31.0412902,-85.8521574
31.27405465,-100.6309318
31.30316389,-93.8443472
31.33016396,-100.6403767
31.34925,-89.306
31.3637786,-87.7649946
31.39629597,-94.1510289
31.48599734,-87.9088882
31.60416667,-92.7863889
31.6251111,-85.0641944
31.7932239,-92.3618064
31.83013918,-100.9937215
31.86017169,-94.8232697
31.8604403,-93.2062789
31.87333333,-92.9663889
31.9661111,-89.115
31.99878889,-93.2132667
32.10014534,-87.39777319
32.10070089,-87.3991621
32.10916667,-92.3211111
32.13014697,-88.0411267
32.2071015,-92.8015434
32.26444444,-93.4311111
32.31666667,-96.3593056
32.32236057,-86.7838712
32.32513829,-86.7847045
32.32833333,-93.4311111
32.33153417,-90.1292532
32.34769444,-90.1707222
32.34963773,-81.1248324
32.3626553,-93.5029523
32.38805556,-89.9552778
32.38819964,-91.3348363
32.3973687,-91.9945763
32.39777778,-90.065
32.39777778,-90.0647222
32.40569225,-87.0186007
32.43904276,-93.627121
32.44902654,-85.897458
32.45777778,-91.4761111
32.5125,-93.7983333
32.51681896,-93.9724054
32.52096964,-87.8800143
32.55916667,-92.0758333
32.56138889,-93.6461111
32.5697222,-93.6347222
32.59416667,-89.8405556
32.59759468,-93.3320309
32.6459805,-93.8779585
32.6520916,-93.6698995
32.71329444,-92.3407639
32.74083333,-92.9030556
32.7773528,-87.841402
32.7804544,-79.923699
32.85235218,-88.1541918
32.8931941,-93.8224008
32.9051392,-93.4829512
32.91819444,-85.1878611
32.9586111,-93.9938889
32.9847222,-91.6986111
32.9931799,-91.2626119
33.0285,-79.8541111
33.1840565,-79.4058929
33.20850056,-79.382558
33.21040097,-88.2886454
33.24042765,-81.40816269
33.24122519,-86.4583132
33.24428056,-79.9913028
33.2531111,-81.16125
33.38444444,-94.4980556
33.4256647,-86.9527705
33.4501652,-80.1636949
33.47366667,-81.2089167
33.5928611,-82.1232222
33.60052778,-90.7500833
33.60702778,-81.1356111
33.6111111,-82.0286111
33.73126819,-80.6284209
33.81071,-80.8670348
33.83388889,-80.1315833
33.83388889,-79.2519444
33.86188889,-84.0973611
33.88841667,-84.1828056
33.9431535,-86.02608309
33.97677778,-81.2278056
33.98555556,-88.5511111
33.9875,-81.0275
34.0103752,-85.9977494
34.01293324,-80.982035
34.01398655,-85.9702488
34.0475,-94.4127778
34.1615833,-84.0761111
34.1636111,-84.7281944
34.20169444,-82.0462778
34.2133611,-91.6116111
34.25159444,-91.6357028
34.26116389,-91.6990833
