lat [deg],lon [deg],start time [s],duration [s],severity,measurements,,
54.797387,-65.272979,50,6000,3.518164331,|['visible', 'thermal', 'sar']|
55.605701,27.10625,90,6000,5.40358754,|['visible', 'thermal', 'sar']|
40.929988,-113.307527,110,6000,5.821639144,|['visible', 'thermal', 'sar']|
-3.642255,-62.661614,110,6000,8.462337977,|['visible', 'thermal', 'sar']|
45.992757,-86.290167,160,6000,9.666246512,|['visible', 'thermal', 'sar']|
68.460904,153.331158,210,6000,6.889217402,|['visible', 'thermal', 'sar']|
-30.158856,122.539747,230,6000,0.418472362,|['visible', 'thermal', 'sar']|
46.188187,33.764583,230,6000,4.662246102,|['visible', 'thermal', 'sar']|
29.452444,-101.052143,250,6000,1.037039359,|['visible', 'thermal', 'sar']|
28.970018,90.579476,260,6000,2.914553096,|['visible', 'thermal', 'sar']|
36.801492,-107.609481,340,6000,8.607381246,|['visible', 'thermal', 'sar']|
-8.757417,26.069792,390,6000,5.442951653,|['visible', 'thermal', 'sar']|
63.900088,65.915625,400,6000,9.940564538,|['visible', 'thermal', 'sar']|
30.952083,87.535417,400,6000,7.751557105,|['visible', 'thermal', 'sar']|
63.697438,-112.023041,400,6000,7.580611788,|['visible', 'thermal', 'sar']|
47.287149,-79.461975,410,6000,4.834016271,|['visible', 'thermal', 'sar']|
63.231409,27.219727,410,6000,2.591161601,|['visible', 'thermal', 'sar']|
9.019717,-74.769634,430,6000,4.58725338,|['visible', 'thermal', 'sar']|
69.139583,70.060417,430,6000,4.536172815,|['visible', 'thermal', 'sar']|
51.19906,-93.795445,470,6000,3.079780817,|['visible', 'thermal', 'sar']|
16.997917,-89.83125,510,6000,8.888288548,|['visible', 'thermal', 'sar']|
59.964793,9.998081,520,6000,1.497389558,|['visible', 'thermal', 'sar']|
62.697805,65.331235,520,6000,9.719022773,|['visible', 'thermal', 'sar']|
59.599259,-133.81361,610,6000,4.664667148,|['visible', 'thermal', 'sar']|
65.253353,-114.438111,650,6000,8.389906515,|['visible', 'thermal', 'sar']|
42.768751,141.401196,660,6000,3.489799997,|['visible', 'thermal', 'sar']|
61.164209,-101.513509,680,6000,7.570599177,|['visible', 'thermal', 'sar']|
16.573078,79.309535,710,6000,5.900892029,|['visible', 'thermal', 'sar']|
56.676107,14.13044,710,6000,2.565394183,|['visible', 'thermal', 'sar']|
58.641007,-111.385402,730,6000,7.490936571,|['visible', 'thermal', 'sar']|
71.419978,-113.959375,730,6000,6.998180714,|['visible', 'thermal', 'sar']|
33.745615,79.028088,810,6000,8.297293074,|['visible', 'thermal', 'sar']|
14.488236,79.304642,820,6000,1.819834548,|['visible', 'thermal', 'sar']|
64.137352,29.469221,820,6000,2.303318369,|['visible', 'thermal', 'sar']|
68.63891,-111.38125,830,6000,7.074187325,|['visible', 'thermal', 'sar']|
37.689583,-93.76875,840,6000,5.066707846,|['visible', 'thermal', 'sar']|
59.773236,-98.877005,860,6000,5.740849443,|['visible', 'thermal', 'sar']|
-36.01651,-70.557314,870,6000,2.345002548,|['visible', 'thermal', 'sar']|
50.985592,72.11892,870,6000,3.250712858,|['visible', 'thermal', 'sar']|
73.844271,103.86875,870,6000,7.207862306,|['visible', 'thermal', 'sar']|
56.548625,14.764601,900,6000,5.422295686,|['visible', 'thermal', 'sar']|
31.114473,118.843841,910,6000,8.223986406,|['visible', 'thermal', 'sar']|
33.240867,-79.999023,930,6000,4.163760588,|['visible', 'thermal', 'sar']|
54.797387,-65.272979,930,6000,6.872569795,|['visible', 'thermal', 'sar']|
66.737268,-86.984375,940,6000,3.806041388,|['visible', 'thermal', 'sar']|
50.933751,-90.254514,940,6000,8.089149033,|['visible', 'thermal', 'sar']|
38.264112,57.877159,940,6000,2.021957211,|['visible', 'thermal', 'sar']|
33.435417,89.872917,990,6000,4.601743049,|['visible', 'thermal', 'sar']|
-34.043743,141.277097,1000,6000,9.627416395,|['visible', 'thermal', 'sar']|
65.964494,-99.343677,1030,6000,8.559279329,|['visible', 'thermal', 'sar']|
69.240676,70.736458,1030,6000,8.242426937,|['visible', 'thermal', 'sar']|
66.639545,-112.236565,1050,6000,5.577924029,|['visible', 'thermal', 'sar']|
50.440057,-80.152773,1060,6000,6.648949334,|['visible', 'thermal', 'sar']|
61.064788,-162.702298,1100,6000,1.437645566,|['visible', 'thermal', 'sar']|
55.145582,-98.449861,1170,6000,6.180904053,|['visible', 'thermal', 'sar']|
