lat [deg],lon [deg],start time [s],duration [s],severity,measurements
45.400347,54.024442,1200,86400,1.113728529,2
-11.430955,29.8145,1840,86400,2.974481136,2
59.95278,31.032851,2900,86400,9.005442782,2
51.587865,-98.728778,2920,86400,8.28834976,2
-16.522917,28.760417,3490,86400,8.700076598,2
-14.417702,35.236458,4100,86400,2.337367563,2
11.122437,-84.781903,6180,86400,4.964424129,2
51.587865,-98.728778,6680,86400,1.167668928,2
-0.140928,29.602017,7200,86400,5.1760703,2
-15.586301,32.704318,7300,86400,5.490072709,2
-46.839729,-72.801544,7870,86400,9.917629969,2
11.573725,37.407008,8390,86400,5.53446581,2
49.764368,-94.518399,9280,86400,0.356658085,2
42.485417,77.427083,10410,86400,0.100936997,2
58.368979,12.368581,10850,86400,4.02251418,2
-2.715432,18.177779,12730,86400,4.739882741,2
44.90625,59.714583,13440,86400,8.301677223,2
6.302627,0.060347,14410,86400,8.410901289,2
68.12483,87.761458,15170,86400,9.604877273,2
23.96728,32.886458,15540,86400,6.511834299,2
75.220969,100.089583,16330,86400,7.685739101,2
60.826818,-98.96529,17580,86400,0.668696143,2
61.227083,28.78125,18960,86400,1.000515603,2
46.335417,60.952083,20420,86400,0.515073809,2
-9.42266,-40.824117,21730,86400,6.79285105,2
61.227083,28.78125,22860,86400,7.577958764,2
-8.491502,28.878979,23870,86400,0.746535133,2
11.122437,-84.781903,24960,86400,0.391855583,2
53.770578,127.306854,25540,86400,0.770809676,2
59.95278,31.032851,27350,86400,4.825850766,2
58.811965,-102.757556,28730,86400,5.61823053,2
-16.522917,28.760417,28910,86400,3.362363744,2
49.655849,83.34758,31570,86400,6.93916184,2
45.400347,54.024442,31960,86400,1.143025865,2
59.331889,-155.884538,32280,86400,0.38181002,2
49.081155,33.247337,34340,86400,3.367062735,2
-28.427083,137.20625,36410,86400,9.132750216,2
58.532267,15.039006,36740,86400,7.023066333,2
68.12483,87.761458,36840,86400,3.826666006,2
60.826818,-98.96529,37830,86400,8.945886685,2
-31.685417,136.08125,38010,86400,4.579856744,2
52.234393,104.321875,38300,86400,1.055701252,2
49.307873,-88.309371,38720,86400,3.589941253,2
-31.252083,137.860417,39910,86400,0.492575425,2
46.78125,33.372917,41940,86400,5.324784827,2
-30.84375,-62.252083,44470,86400,9.50155293,2
-16.558623,-69.029021,47640,86400,6.24669123,2
-28.427083,137.20625,48850,86400,5.61074277,2
29.751804,116.221063,48880,86400,0.406233139,2
-0.140928,29.602017,49790,86400,8.274092693,2
60.919873,34.161458,50750,86400,1.303755201,2
50.649075,-68.728125,50930,86400,5.016559024,2
49.764368,-94.518399,52030,86400,1.147889269,2
-16.558623,-69.029021,53780,86400,9.616074697,2
31.110144,120.543741,53940,86400,8.04542355,2
-32.14898,-52.628161,54710,86400,7.123873325,2
-1.914499,-59.477151,56110,86400,2.959340696,2
-11.430955,29.8145,56610,86400,4.083644359,2
56.234185,-103.149606,59460,86400,0.021214975,2
44.480557,-75.794246,60360,86400,1.857966905,2
-2.715432,18.177779,60820,86400,0.675706528,2
53.784788,-77.451463,62330,86400,7.57310061,2
58.811965,-102.757556,63490,86400,2.501470248,2
