name,for,fov,constellation_size,agility,event_duration,event_frequency,event_duration,event_clustering,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_events_seen_avg,replan_event_obs_count,replan_events_seen,replan_events_seen_avg,vis_event_obs_count,vis_events_seen,vis_events_seen_avg,time
experiment_test,60,5,6,1,21600,2.777777777777778e-06,10,4,fifo,encourage,1569,61593,41263,341637,571,108,5.287037037037037,393,102,3.8529411764705883,3200,126,25.396825396825395,6971.492453336716
experiment_num_0,60,5,6,10,21600,2.777777777777778e-06,10,4,fifo,encourage,1590,82576,76180,348477,1143,134,8.529850746268657,1026,134,7.656716417910448,4963,147,33.76190476190476,10700.318106174469
experiment_num_1,60,5,6,5,21600,2.777777777777778e-06,10,4,fifo,encourage,1560,102821,90342,344977,1149,140,8.207142857142857,993,136,7.301470588235294,3540,155,22.838709677419356,12384.80337357521
experiment_num_2,60,5,6,0.1,21600,2.777777777777778e-06,10,4,fifo,encourage,1548,25967,0,348798,355,112,3.169642857142857,0,0,nan,4390,137,32.043795620437955,2396.098373413086
experiment_num_3,60,5,6,0.01,21600,2.777777777777778e-06,10,4,fifo,encourage,1569,5493,0,345457,93,58,1.603448275862069,0,0,nan,4074,149,27.34228187919463,2115.325562477112
experiment_num_4,60,5,6,1,86400,2.777777777777778e-06,10,4,fifo,encourage,1593,62141,41539,347868,784,139,5.640287769784172,521,121,4.305785123966942,4818,154,31.285714285714285,7152.677989721298
experiment_num_5,60,5,6,1,43200,2.777777777777778e-06,10,4,fifo,encourage,1546,61973,41405,342239,739,144,5.131944444444445,496,134,3.701492537313433,3920,159,24.654088050314467,6993.321585655212
experiment_num_6,60,5,6,1,10800,2.777777777777778e-06,10,4,fifo,encourage,1514,61209,40819,341028,726,134,5.417910447761194,497,118,4.211864406779661,3602,145,24.841379310344827,6956.212930679321
experiment_num_7,60,5,6,1,5400.0,2.777777777777778e-06,10,4,fifo,encourage,1527,61785,41335,346306,672,137,4.905109489051095,477,113,4.221238938053097,3805,146,26.061643835616437,6926.927757978439
experiment_num_8,60,5,6,1,21600,2.777777777777778e-06,10,1,fifo,encourage,1611,52359,38508,320948,486,118,4.11864406779661,395,111,3.5585585585585586,3598,153,23.516339869281047,6131.272240400314
experiment_num_9,60,5,6,1,21600,2.777777777777778e-06,10,2,fifo,encourage,1518,57353,40182,330903,779,128,6.0859375,555,113,4.911504424778761,4314,154,28.01298701298701,6622.159495353699
experiment_num_10,60,5,6,1,21600,2.777777777777778e-06,10,8,fifo,encourage,1532,64661,42398,348760,864,153,5.647058823529412,566,135,4.192592592592592,4272,166,25.734939759036145,7237.876002073288
experiment_num_11,60,5,6,1,21600,2.777777777777778e-06,10,16,fifo,encourage,1579,65918,42861,343039,1002,150,6.68,619,133,4.654135338345864,4987,157,31.764331210191084,7104.372829914093
experiment_num_12,60,5,6,1,21600,0.0002777777777777778,10,4,fifo,encourage,155597,61189,41071,343264,72834,13247,5.49815052464709,49433,11691,4.228295269865709,403066,14563,27.677401634278652,53220.97673821449
experiment_num_13,60,5,6,1,21600,2.777777777777778e-05,10,4,fifo,encourage,15556,62194,41348,345724,7803,1345,5.801486988847584,5102,1180,4.323728813559322,42443,1449,29.291235334713594,11226.573874473572
experiment_num_14,60,5,6,1,21600,2.7777777777777776e-07,10,4,fifo,encourage,155,61355,41240,345412,49,10,4.9,47,10,4.7,344,10,34.4,6581.488583564758
experiment_num_15,60,5,6,1,21600,2.777777777777778e-08,10,4,fifo,encourage,16,62174,41614,345110,5,2,2.5,3,1,3.0,15,2,7.5,6531.2415199279785
experiment_num_16,60,5,6,1,21600,2.777777777777778e-06,1,4,fifo,encourage,154,15327,10721,35604,137,13,10.538461538461538,96,13,7.384615384615385,251,13,19.307692307692307,425.1488428115845
experiment_num_17,60,5,6,1,21600,2.777777777777778e-06,5,4,fifo,encourage,816,42917,30040,170800,487,74,6.581081081081081,336,65,5.1692307692307695,2107,75,28.093333333333334,2762.74999499321
experiment_num_19,60,5,6,1,21600,2.777777777777778e-08,10,4,fifo,encourage,16,61728,41518,341064,0,0,nan,0,0,nan,0,0,nan,6412.489388227463
experiment_num_20,60,5,6,1,21600,2.777777777777778e-06,1,4,fifo,encourage,154,15573,10922,35939,179,17,10.529411764705882,103,16,6.4375,396,17,23.294117647058822,411.0098822116852
experiment_num_21,60,5,6,1,21600,2.777777777777778e-06,5,4,fifo,encourage,767,43152,29256,175992,484,57,8.491228070175438,337,57,5.912280701754386,1659,62,26.758064516129032,2753.795068025589
