name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_num_19,60,5,6,1,21600,2.777777777777778e-08,10,4,heuristic,encouraged,16,73196,67508,341064,39,15,103,15,263,15,9472.739579200745
experiment_num_20,60,5,6,1,21600,2.777777777777778e-06,1,4,heuristic,encouraged,154,23148,16457,35939,1289,141,1632,133,2035,142,502.60362911224365
experiment_num_21,60,5,6,1,21600,2.777777777777778e-06,2,4,heuristic,encouraged,767,57479,37459,175992,3051,697,4115,565,9428,725,3444.224944591522
experiment_num_22,60,5,6,1,21600,2.777777777777778e-06,5,4,heuristic,encouraged,806,57950,38831,173934,3267,744,4418,583,9950,767,3438.2424278259277
experiment_num_23,10,5,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,7772,146883,115375,251361,7611,4058,7267,3313,12751,4873,55220.503695726395
experiment_num_24,20,5,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1560,69615,46612,100115,3738,1215,3580,991,5419,1268,5996.516124725342
experiment_num_25,40,5,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1604,81437,54568,215973,4491,1402,5689,1076,12214,1514,7711.035459518433
experiment_num_26,80,5,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1600,60463,46304,544201,3177,1251,6195,939,29642,1523,11935.522369861603
experiment_num_27,60,5,2,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1553,8142,7191,38251,441,358,535,307,2131,671,1197.6482427120209
experiment_num_28,60,5,4,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1640,32776,24764,154445,1776,1070,2199,817,9235,1481,3908.4648010730743
experiment_num_29,60,5,8,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1539,130419,90238,621028,6858,1382,11701,1132,32017,1463,15234.514672756195
experiment_num_30,60,5,10,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1553,203614,139455,957888,11068,1474,20097,1268,49730,1515,24340.34216451645
experiment_num_31,60,20,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1564,126268,95018,345575,6748,1388,8063,1142,18042,1463,8670.016332864761
experiment_num_32,60,10,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1557,83664,59753,345468,4410,1333,6098,1024,18665,1467,8700.702502727509
experiment_num_33,60,2,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1620,70457,50038,345796,3827,1312,5812,996,19001,1507,8634.56652212143
experiment_num_34,60,1,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1553,69932,49705,343198,3699,1283,5874,972,19191,1456,8653.780420780182
