name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test_het,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,412,72791,56229,345080,77,375,151,341,263,411,219.90731191635132
het_experiment_num_0,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,386,72282,56088,350061,65,346,131,316,219,385,711.0269448757172
het_experiment_num_1,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1568,73516,52645,343410,296,1302,409,996,844,1465,661.7746279239655
het_experiment_num_2,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1533,73735,52491,350951,247,1293,396,980,811,1432,3083.5056772232056
het_experiment_num_3,60,5,2,10,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1637,124725,78913,339776,536,1461,489,1138,839,1536,788.8022050857544
het_experiment_num_4,60,5,2,5,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1583,123777,79859,352800,544,1413,531,1139,844,1483,1103.3920106887817
het_experiment_num_5,60,5,2,0.1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1605,24983,21129,342777,28,881,143,710,826,1512,796.6902165412903
het_experiment_num_6,60,5,2,0.01,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1570,4963,5037,350947,0,232,10,218,837,1475,504.0504493713379
het_experiment_num_7,60,5,2,1,86400,2.777777777777778e-06,10,4,3,heuristic,encouraged,1605,73186,51903,350114,807,1409,865,1114,1243,1506,637.0679671764374
het_experiment_num_8,60,5,2,1,43200,2.777777777777778e-06,10,4,3,heuristic,encouraged,1558,72723,51485,343210,677,1361,787,1066,1223,1462,581.8180527687073
het_experiment_num_9,60,5,2,1,10800,2.777777777777778e-06,10,4,3,heuristic,encouraged,1601,73571,53654,343135,9,1049,38,798,113,1329,564.0042850971222
het_experiment_num_10,60,5,2,1,5400.0,2.777777777777778e-06,10,4,3,heuristic,encouraged,1544,73594,58663,342426,4,577,14,496,76,819,546.4306790828705
het_experiment_num_11,60,5,2,1,21600,2.777777777777778e-06,10,1,3,heuristic,encouraged,1551,69969,51025,320051,237,1230,359,930,818,1447,3449.503384590149
het_experiment_num_12,60,5,2,1,21600,2.777777777777778e-06,10,2,3,heuristic,encouraged,1530,72045,51798,339177,262,1224,363,941,827,1428,5990.809693336487
het_experiment_num_13,60,5,2,1,21600,2.777777777777778e-06,10,8,3,heuristic,encouraged,1520,74003,52781,347472,252,1268,395,970,773,1421,5948.355602025986
het_experiment_num_14,60,5,2,1,21600,2.777777777777778e-06,10,16,3,heuristic,encouraged,1552,73109,52931,339019,268,1312,359,965,789,1446,8289.667226314545
