name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,rewardevents,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test_fixed_het,60,5,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1514,0,0,345106,0,0,0,0,794,1422,377.18510222435
het_experiment_fixed_num_0,60,5,2,1,21600,2.777777777777778e-06,10,4,2,dp,2,10,1516,0,0,152683,0,0,0,0,1325,1346,2264.9609375
het_experiment_fixed_num_1,60,5,2,1,21600,2.777777777777778e-06,10,4,4,dp,2,10,1506,0,0,601447,0,0,0,0,739,1435,9505.256936311722
het_experiment_fixed_num_2,60,5,2,10,21600,2.777777777777778e-06,10,4,3,dp,2,10,1566,0,0,344416,0,0,0,0,825,1444,6387.447682857513
het_experiment_fixed_num_3,60,5,2,5,21600,2.777777777777778e-06,10,4,3,dp,2,10,1578,0,0,336106,0,0,0,0,855,1490,5874.840378284454
het_experiment_fixed_num_4,60,5,2,0.1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1588,0,0,342457,0,0,0,0,844,1487,4180.327095746994
het_experiment_fixed_num_5,60,5,2,0.01,21600,2.777777777777778e-06,10,4,3,dp,2,10,1572,0,0,344772,0,0,0,0,833,1465,3075.818144083023
het_experiment_fixed_num_6,60,5,2,1,86400,2.777777777777778e-06,10,4,3,dp,2,10,1531,0,0,344954,0,0,0,0,1217,1443,5733.92436671257
het_experiment_fixed_num_7,60,5,2,1,43200,2.777777777777778e-06,10,4,3,dp,2,10,1568,0,0,342868,0,0,0,0,1228,1479,5594.971923112869
het_experiment_fixed_num_8,60,5,2,1,10800,2.777777777777778e-06,10,4,3,dp,2,10,1622,0,0,342502,0,0,0,0,142,1370,5433.394317626953
het_experiment_fixed_num_9,60,5,2,1,5400.0,2.777777777777778e-06,10,4,3,dp,2,10,1593,0,0,349095,0,0,0,0,83,857,5423.915872335434
het_experiment_fixed_num_10,60,5,2,1,21600,2.777777777777778e-06,10,1,3,dp,2,10,1525,0,0,321195,0,0,0,0,829,1429,4791.924172639847
het_experiment_fixed_num_11,60,5,2,1,21600,2.777777777777778e-06,10,2,3,dp,2,10,1542,0,0,329818,0,0,0,0,815,1436,5232.770900249481
het_experiment_fixed_num_12,60,5,2,1,21600,2.777777777777778e-06,10,8,3,dp,2,10,1577,0,0,347269,0,0,0,0,834,1482,5548.923431158066
het_experiment_fixed_num_13,60,5,2,1,21600,2.777777777777778e-06,10,16,3,dp,2,10,1566,0,0,338169,0,0,0,0,824,1440,5367.035943508148
het_experiment_fixed_num_14,60,5,2,1,21600,2.777777777777778e-05,10,4,3,dp,2,10,15655,0,0,342165,0,0,0,0,8293,14672,9639.132414340973
het_experiment_fixed_num_15,60,5,2,1,21600,2.7777777777777776e-07,10,4,3,dp,2,10,156,0,0,339448,0,0,0,0,89,148,5057.862969636917
het_experiment_fixed_num_16,60,5,2,1,21600,2.777777777777778e-08,10,4,3,dp,2,10,15,0,0,345877,0,0,0,0,6,13,5097.862813711166
het_experiment_fixed_num_17,60,5,2,1,21600,2.777777777777778e-06,1,4,3,dp,2,10,146,0,0,33191,0,0,0,0,79,140,345.07726645469666
het_experiment_fixed_num_18,60,5,2,1,21600,2.777777777777778e-06,2,4,3,dp,2,10,314,0,0,69121,0,0,0,0,155,293,656.342214345932
het_experiment_fixed_num_19,60,5,2,1,21600,2.777777777777778e-06,5,4,3,dp,2,10,799,0,0,169470,0,0,0,0,462,746,2078.801323890686
het_experiment_fixed_num_20,10,5,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1552,0,0,49578,0,0,0,0,140,1023,1381.8548164367676
het_experiment_fixed_num_21,20,5,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1579,0,0,101061,0,0,0,0,317,1306,2091.0613124370575
het_experiment_fixed_num_22,40,5,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1551,0,0,215025,0,0,0,0,688,1431,3511.2273454666138
het_experiment_fixed_num_23,80,5,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1583,0,0,547978,0,0,0,0,930,1502,10912.901737451553
het_experiment_fixed_num_24,60,5,3,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1561,0,0,778114,0,0,0,0,1232,1547,12728.659139871597
het_experiment_fixed_num_25,60,20,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1493,0,0,344554,0,0,0,0,770,1398,5461.86333155632
het_experiment_fixed_num_26,60,10,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1545,0,0,342378,0,0,0,0,802,1454,5497.763968467712
het_experiment_fixed_num_27,60,2,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1546,0,0,344530,0,0,0,0,838,1459,5463.934569120407
het_experiment_fixed_num_28,60,1,2,1,21600,2.777777777777778e-06,10,4,3,dp,2,10,1588,0,0,348667,0,0,0,0,838,1499,5534.74054145813
