name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test_fixed_het,60,5,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1514,122797,106809,345106,456,1291,534,1221,794,1422,561.258723258972
het_experiment_fixed_num_0,60,5,2,1,21600,2.77777777777778E-06,10,4,2,dp,2,10,1516,53261,46899,152683,689,1117,706,1037,1325,1346,225.803196430206
het_experiment_fixed_num_1,60,5,2,1,21600,2.77777777777778E-06,10,4,4,dp,2,10,1506,214524,188913,601447,445,1377,545,1346,739,1435,997.10609292984
het_experiment_fixed_num_2,60,5,2,10,21600,2.77777777777778E-06,10,4,3,dp,2,10,1566,151122,138587,344416,567,1352,623,1321,825,1444,593.406792163849
het_experiment_fixed_num_3,60,5,2,5,21600,2.77777777777778E-06,10,4,3,dp,2,10,1578,132967,118544,336106,569,1384,634,1334,855,1490,555.123401165009
het_experiment_fixed_num_4,60,5,2,0.1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1588,69582,63394,342457,248,1212,385,1148,844,1487,462.912848234177
het_experiment_fixed_num_5,60,5,2,0.01,21600,2.77777777777778E-06,10,4,3,dp,2,10,1572,27602,25058,344772,54,816,190,729,833,1465,399.508974075317
het_experiment_fixed_num_6,60,5,2,1,86400,2.77777777777778E-06,10,4,3,dp,2,10,1531,121088,105482,344954,980,1380,1056,1351,1217,1443,521.225146055222
het_experiment_fixed_num_7,60,5,2,1,43200,2.77777777777778E-06,10,4,3,dp,2,10,1568,120347,105434,342868,905,1402,979,1363,1228,1479,542.866385936737
het_experiment_fixed_num_8,60,5,2,1,10800,2.77777777777778E-06,10,4,3,dp,2,10,1622,119552,104978,342502,50,1159,60,1070,142,1370,545.476188182831
het_experiment_fixed_num_9,60,5,2,1,5400,2.77777777777778E-06,10,4,3,dp,2,10,1593,119984,107364,349095,23,679,31,612,83,857,535.14458155632
het_experiment_fixed_num_10,60,5,2,1,21600,2.77777777777778E-06,10,1,3,dp,2,10,1525,109418,96879,321195,411,1241,488,1168,829,1429,472.424644947052
het_experiment_fixed_num_11,60,5,2,1,21600,2.77777777777778E-06,10,2,3,dp,2,10,1542,117061,103415,329818,428,1287,511,1240,815,1436,500.121286630631
het_experiment_fixed_num_12,60,5,2,1,21600,2.77777777777778E-06,10,8,3,dp,2,10,1577,118010,103721,347269,462,1364,548,1315,834,1482,537.811210632324
het_experiment_fixed_num_13,60,5,2,1,21600,2.77777777777778E-06,10,16,3,dp,2,10,1566,121786,104849,338169,477,1339,552,1269,824,1440,525.653173923493
het_experiment_fixed_num_14,60,5,2,1,21600,2.77777777777778E-05,10,4,3,dp,2,10,15655,119012,106749,342165,4699,13382,4499,12567,8293,14672,4945.43317770958
het_experiment_fixed_num_15,60,5,2,1,21600,2.77777777777778E-07,10,4,3,dp,2,10,156,119688,107627,339448,55,138,63,137,89,148,92.0417172908783
het_experiment_fixed_num_16,60,5,2,1,21600,2.77777777777778E-08,10,4,3,dp,2,10,15,119289,109154,345877,3,11,3,11,6,13,47.2366733551025
het_experiment_fixed_num_17,60,5,2,1,21600,2.77777777777778E-06,1,4,3,dp,2,10,146,22447,19913,33191,77,140,75,138,79,140,6.89105033874512
het_experiment_fixed_num_18,60,5,2,1,21600,2.77777777777778E-06,2,4,3,dp,2,10,314,39078,34515,69121,131,287,131,283,155,293,29.3944072723389
het_experiment_fixed_num_19,60,5,2,1,21600,2.77777777777778E-06,5,4,3,dp,2,10,799,76390,67055,169470,319,711,347,688,462,746,143.332136154175
het_experiment_fixed_num_20,10,5,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1552,42034,41461,49578,118,984,131,981,140,1023,95.5623369216919
het_experiment_fixed_num_21,20,5,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1579,63570,60877,101061,214,1204,236,1179,317,1306,183.756278514862
het_experiment_fixed_num_22,40,5,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1551,93216,85436,215025,387,1304,471,1265,688,1431,339.412786960602
het_experiment_fixed_num_23,80,5,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1583,148699,121798,547978,569,1403,604,1337,930,1502,1546.72418928146
het_experiment_fixed_num_24,60,5,3,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1561,270229,237104,778114,960,1509,1045,1481,1232,1547,1349.5085234642
het_experiment_fixed_num_25,60,20,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1493,245613,216457,344554,549,1322,553,1278,770,1398,674.34419131279
het_experiment_fixed_num_26,60,10,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1545,141776,125178,342378,504,1372,554,1314,802,1454,551.133047103882
het_experiment_fixed_num_27,60,2,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1546,114067,99226,344530,466,1341,520,1258,838,1459,514.843035459518
het_experiment_fixed_num_28,60,1,2,1,21600,2.77777777777778E-06,10,4,3,dp,2,10,1588,112939,98933,348667,466,1362,546,1313,838,1499,538.605948448181
