name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_65,10,10,2,1,43200,2.777777777777778e-05,5,8,4,dp,2,10,7709,62129,62828,52632,1822,6859,1822.0,554090,0.2363471267349851,38857.66,4663.958189616978,1.0,86400.0,11242.160142105828,1796,6848,1796.0,573220,0.2329744454533662,38852.53,4621.366363081164,1.0,86400.0,11369.514070160416,1819,6824,1819.0,485170,0.2359579712024906,38250.0,4760.271977297912,1.0,86400.0,11532.486807482874,2171.7789146900177
oa_het_66,60,5,2,1,21600,2.777777777777778e-05,5,8,2,dp,2,10,7684,33812,29126,79193,4129,6248,4129.0,178180,0.5373503383654347,21552.57,5681.853604362893,1.0,86400.0,11652.974949264655,4026,5944,4026.0,190340,0.5239458615304529,21549.670000000013,5471.43057710312,1.0,86400.0,13188.441024747444,6721,6892,6721.0,406830,0.8746746486205101,21600.0,5171.131925497862,1.0,86400.0,7051.554071517505,1833.4889316558838
oa_het_67,60,5,2,1,3600,2.7777777777777776e-07,5,4,4,dp,2,10,67,136150,116907,311460,0,36,0,1300,0.0,86400,86400,1.0,86400.0,3315.8477417740273,0,34,0,2030,0.0,86400,86400,1.0,86400.0,3250.617809151447,0,39,0,2630,0.0,86400,86400,1.0,86400.0,1786.6275959588513,5205.50187754631
oa_het_68,10,10,2,0.1,43200,2.777777777777778e-06,1,8,4,dp,2,10,144,8037,7917,9149,29,126,29.0,5600,0.2013888888888889,32386.3,4778.684958043985,1.0,86400.0,11404.831808253739,32,126,32.0,6050,0.2222222222222222,32380.0,4783.657405094906,1.0,86400.0,11576.041633455627,32,126,32.0,6210,0.2222222222222222,32390.0,4758.258161019385,1.0,86400.0,11173.953831669845,413.5422465801239
oa_het_69,10,5,2,0.01,3600,2.777777777777778e-05,10,4,4,dp,2,10,15639,24565,23059,94632,9,1958,9.0,25660,0.0005754843660080568,1239.0,294.23370746900156,1.0,86400.0,29075.57429153488,17,1799,17.0,28050,0.001087026024681885,2372.0,220.8385820192809,1.0,86400.0,31589.758099820032,28,3906,28.0,93240,0.0017903958053583989,2520.0,169.4072936640804,1.0,86400.0,11125.156467309847,3030.2412219047546
oa_het_70,10,10,2,0.01,21600,2.777777777777778e-08,1,4,4,dp,2,10,3,5547,5749,9299,0,3,0,80,0.0,86400,86400,1.0,75385.0,15199.883145745285,1,3,1.0,110,0.3333333333333333,10186.0,3600.0,1.0,86400.0,13891.924912874254,2,3,2.0,130,0.6666666666666666,10570.0,3342.857142857143,1.0,42990.0,11265.67988628492,396.6142864227295
oa_het_71,60,5,2,0.1,3600,2.7777777777777776e-07,10,8,3,dp,2,10,161,71786,62255,339630,1,53,1.0,870,0.006211180124223602,751.2000000000116,600.0,1.0,86400.0,12641.66010488547,7,55,7.0,1720,0.043478260869565216,1903.5999999999985,352.6402169259312,1.0,86400.0,12107.337253430396,9,81,9.0,4560,0.055900621118012424,610.0,208.18981481481484,1.0,86400.0,3681.945449183721,6796.062754392624
oa_het_72,30,1,2,1,43200,2.777777777777778e-08,5,8,4,dp,2,10,10,85481,79364,145070,6,9,6.0,660,0.6,11198.810000000005,4755.844155844156,1.0,86400.0,5577.719962009037,6,9,6.0,710,0.6,11176.180000000008,4695.238095238095,1.0,86400.0,5437.164155196013,6,9,6.0,740,0.6,11200.0,4676.847290640394,1.0,86400.0,4331.303290767362,2632.732600927353
oa_het_73,30,1,2,5,43200,2.777777777777778e-05,10,1,4,dp,2,10,15693,110325,106321,250212,6295,13040,6295.0,989790,0.40113426368444527,36119.763999999996,4410.064444293547,1.0,86400.0,13407.937714142885,7774,13145,7774.0,1164290,0.495380105779647,36119.763999999996,4543.444946313552,1.0,86400.0,11006.006698272164,11533,14869,11533.0,2246370,0.7349136557700886,39220.0,3939.401805830921,1.0,21830.0,3833.124570489455,11097.141417980194
oa_het_74,30,5,2,1,3600,2.777777777777778e-06,5,8,2,dp,2,10,825,22183,20508,35691,44,115,44.0,1920,0.05333333333333334,3510.4400000000023,1073.9610389610389,1.0,86400.0,16910.066139078346,61,117,61.0,2490,0.07393939393939394,3487.8699999999953,950.304449648712,1.0,86400.0,17558.088966913074,84,135,84.0,3400,0.10181818181818182,3520.0,923.7064522778809,1.0,86400.0,14159.834162006813,632.1692094802856
oa_het_75,60,10,2,0.01,3600,2.7777777777777776e-07,1,8,2,dp,2,10,16,3394,3590,15380,0,1,0,10,0.0,86400,86400,1.0,86400.0,21619.34008427778,1,2,1.0,30,0.0625,2347.0,1200.0,1.0,86400.0,17774.942281089545,2,3,2.0,60,0.125,1480.0,1050.0,1.0,86400.0,7214.655586115724,125.10505652427673
oa_het_76,30,1,2,0.1,43200,2.777777777777778e-06,5,4,3,dp,2,10,745,27250,24140,75545,223,619,223.0,23830,0.2993288590604027,29826.600000000006,7174.103269074781,1.0,86400.0,14490.689254446355,329,607,329.0,37750,0.44161073825503355,33323.2,6428.401065012214,1.0,86400.0,15604.78659741529,493,678,493.0,64770,0.661744966442953,41400.0,6045.021587897708,1.0,86400.0,6679.984853539076,1082.4131348133087
oa_het_77,10,1,2,1,3600,2.777777777777778e-05,1,4,2,dp,2,10,1524,2120,2091,2176,53,130,53.0,2150,0.03477690288713911,3357.600000000006,1062.0485175202157,1.0,86400.0,35058.64917601883,52,130,52.0,2120,0.03412073490813648,3358.6600000000035,1064.5054945054944,1.0,86400.0,35341.71765705572,54,130,54.0,2130,0.03543307086614173,3350.0,1075.079365079365,1.0,86400.0,34716.067787318614,57.34112191200256
