name,for,fov,constellation_size,agility,,event_duration,,event_frequency,,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,capability index,difficulty index,,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,init_poss_perc_cov,replan_poss_perc_cov,replan_het_poss_perc_cov,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_new_11,30,10,2,0.01,3,21600,6,2.78E-07,1.00E-03,10,8,3,dp,2,10,0.1,1000,153,0.03,2.91,0.01,24934,25098,7,70,7,1300,0.045751634,15160,4431.428571,1,86400,33272.76192,14,80,14,2770,0.091503268,16769,2777.762945,1,86400,28631.31778,14,82,14,2320,0.091503268,16769,3254.865764,1,86400,28560.30463,0.145833333,0.291666667,0.291666667,48,140,48,8120,0.31372549,14980,2904.257993,1,86400,7086.83498,2336.199494
oa_het_new_0,60,1,2,5,0.301029996,3600,1,2.78E-05,1.00E-01,10,4,3,dp,2,10,0.1,1000,15465,30,33.51,0.9,109408,109790,106,5091,106,122880,0.006854187,2429.838,499.3686641,1,86400,7450.127051,322,5175,322,171800,0.020821209,3184.018,389.487653,1,86400,6155.337717,389,5353,389,146340,0.025153573,2820.022,497.5917912,1,86400,6110.341729,0.165109034,0.501557632,0.605919003,642,6607,642,338280,0.041513094,3290,234.4337729,1,86400,3180.720972,16395.96345
oa_het_new_7,10,20,2,0.01,3,3600,1,2.78E-06,1.00E-02,5,8,2,dp,2,10,0.1,1000,774,0.01,11.55,0,16559,16569,29,87,29,1680,0.0374677,3433,975.745398,1,86400,35122.64502,34,103,34,2000,0.043927649,3578,970.4284368,1,86400,31430.53828,34,105,34,1840,0.043927649,3578,1008.151261,1,86400,31286.54307,0.568627451,0.666666667,0.666666667,51,116,51,2430,0.065891473,3520,1018.839362,1,86400,20215.19712,431.8756156
oa_het_new_3,5,10,2,0.01,3,43200,12,2.78E-05,1.00E-01,5,1,2,dp,2,10,0.1,1000,7918,0.01,1.3,0,5238,5217,889,2800,889,47390,0.112275827,42992,12181.18943,1,86400,54605.83932,973,2697,973,49160,0.122884567,42980,11909.35892,1,86400,55079.37061,979,2766,979,48560,0.123642334,43005,12071.67398,1,86400,54594.40629,0.621678322,0.68041958,0.684615385,1430,3288,1430,64530,0.180601162,43110,11755.67342,1,86400,50141.26675,233.055263
oa_het_new_23,10,5,2,0.01,3,43200,12,2.78E-06,1.00E-02,2,4,3,dp,2,10,0.1,1000,287,0.01,1.64,0.01,4732,4736,25,170,25,4150,0.087108014,29129,6482.905415,1,86400,31922.20726,40,177,40,6530,0.139372822,29327,6038.487512,1,86400,28925.72719,43,177,43,5640,0.149825784,29327,6655.709358,1,86400,28711.7158,0.454545455,0.727272727,0.781818182,55,205,55,9870,0.191637631,29050,5657.393522,1,86400,20601.92603,81.12888837
oa_het_new_10,60,5,2,0.1,2,3600,1,2.78E-07,1.00E-03,2,1,2,dp,2,10,0.1,1000,29,0.6,5.85,0.1,19981,20006,4,9,4,190,0.137931034,2601.1,810,1,86400,7487.21694,6,8,6,250,0.206896552,2786.8,841.4285714,1,72790.9,6620.233608,6,8,6,210,0.206896552,2851.4,950,1,72790.9,6609.166072,0.5,0.75,0.75,8,9,8,420,0.275862069,2810,702.202381,1,14060,3096.325018,356.4653676
oa_het_new_29,10,1,2,1,1,43200,12,2.78E-08,1.00E-04,10,1,2,dp,2,10,0.1,1000,16,1,0.4,2.49,28596,28596,3,11,3,150,0.1875,40673.15,14400,1,86400,31472.15742,3,12,3,180,0.1875,40680,14400,1,86400,27459.81226,3,12,3,160,0.1875,40680,14400,1,86400,27460.92337,0.75,0.75,0.75,4,14,4,240,0.25,40680,13500,1,86400,22217.94264,1868.585721
oa_het_new_17,30,5,2,1,1,86400,24,2.78E-05,1.00E-01,5,1,3,dp,2,10,0.1,1000,7732,3,1.3,2.31,37841,37114,4195,6768,4195,481360,0.54255044,75098.57,11088.95907,1,86400,11184.14959,4349,6779,4349,502580,0.562467667,75098.57,10962.78837,1,86400,10748.96038,4519,6865,4519,474570,0.584454216,75061.13,11451.77625,1,86400,10264.73677,0.77284451,0.801215917,0.832535004,5428,7073,5428,829360,0.702017589,76750,9912.51582,1,32590,6631.781917,2106.944261
oa_het_new_21,60,1,2,1,1,21600,6,2.78E-06,1.00E-02,5,8,4,dp,2,10,0.1,1000,740,6,7.65,0.78,61121,61443,169,655,169,37800,0.228378378,18767.59,2321.39293,1,86400,6179.951332,232,649,232,61370,0.313513514,18518.99,1880.103998,1,86400,6290.126241,235,650,235,50970,0.317567568,20109.4,2148.385544,1,86400,6264.034275,0.595070423,0.816901408,0.827464789,284,677,284,90920,0.383783784,20110,1763.914332,1,86400,3549.151233,2840.24566
oa_het_new_26,60,20,2,0.1,2,43200,12,2.78E-07,1.00E-03,5,16,3,dp,2,10,0.1,1000,87,0.6,1.29,0.46,67951,68987,41,79,41,7320,0.471264368,33003.1,5563.297835,1,86400,8935.042907,58,86,58,13870,0.666666667,30669.6,4455.918696,1,86400,8595.855376,57,86,57,10900,0.655172414,30669.6,5136.570307,1,86400,8567.023018,0.630769231,0.892307692,0.876923077,65,86,65,16880,0.747126437,30970,3686.710999,1,86400,4662.236755,2126.764825
