name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_new_0,60,1,2,5,3600,2.777777777777778e-05,10,4,3,dp,2,10,0.1,1000,15465,109408,110818,0,5091,0,122880,0.0,86400,86400,1.0,86400.0,7450.127051498999,0,5175,0,171800,0.0,86400,86400,1.0,86400.0,6155.337717344681,0,5347,0,107490,0.0,86400,86400,1.0,86400.0,6085.359451451044,0,6607,0,338280,0.0,86400,86400,1.0,86400.0,3180.72097195479,17506.015590906143
oa_het_new_1,30,20,2,1,21600,2.777777777777778e-05,2,16,2,dp,2,10,0.1,1000,3138,33752,33662,0,2772,0,206510,0.0,86400,86400,1.0,86400.0,7904.53121849679,0,2742,0,205440,0.0,86400,86400,1.0,86400.0,8162.424727242906,0,2756,0,191420,0.0,86400,86400,1.0,86400.0,8148.509678410924,0,2747,0,174500,0.0,86400,86400,1.0,86400.0,8603.364012429784,758.8432488441467
oa_het_new_2,10,5,2,0.1,86400,2.777777777777778e-05,1,8,4,dp,2,10,0.1,1000,1511,4847,4815,0,1207,0,68260,0.0,86400,86400,1.0,86400.0,20835.21022714326,0,1202,0,69230,0.0,86400,86400,1.0,86400.0,21059.14445118646,0,1202,0,66340,0.0,86400,86400,1.0,86400.0,21064.240424681317,0,1207,0,79900,0.0,86400,86400,1.0,86400.0,20545.57901127674,186.55691266059875
oa_het_new_3,5,10,2,0.01,43200,2.777777777777778e-05,5,1,2,dp,2,10,0.1,1000,7918,5238,5380,0,2800,0,47390,0.0,86400,86400,1.0,86400.0,54605.839316972444,0,2697,0,49160,0.0,86400,86400,1.0,86400.0,55079.37061184429,0,2920,0,49090,0.0,86400,86400,1.0,86400.0,53756.23125023124,0,3288,0,64530,0.0,86400,86400,1.0,86400.0,50141.266750678515,407.276713848114
oa_het_new_4,30,5,2,5,43200,2.777777777777778e-06,10,16,4,dp,2,10,0.1,1000,1526,98042,98187,0,1351,0,87100,0.0,86400,86400,1.0,86400.0,9664.858317115677,0,1362,0,127140,0.0,86400,86400,1.0,86400.0,8904.507988700881,0,1363,0,87770,0.0,86400,86400,1.0,86400.0,8882.155747647586,0,1367,0,153290,0.0,86400,86400,1.0,86400.0,8041.697682031318,7334.089965105057
oa_het_new_5,60,10,2,1,86400,2.777777777777778e-06,2,4,2,dp,2,10,0.1,1000,310,34041,34648,0,295,0,46320,0.0,86400,86400,1.0,86400.0,4274.844714401199,0,294,0,59680,0.0,86400,86400,1.0,86400.0,4683.216336856514,0,296,0,40080,0.0,86400,86400,1.0,86400.0,4605.802352964336,0,297,0,79660,0.0,86400,86400,1.0,86400.0,3285.604284990247,959.3306379318237
oa_het_new_6,5,1,2,0.1,21600,2.777777777777778e-06,1,1,3,dp,2,10,0.1,1000,164,1296,1296,0,52,0,640,0.0,86400,86400,1.0,86400.0,50955.85975027151,0,52,0,630,0.0,86400,86400,1.0,86400.0,51110.85975027151,0,52,0,630,0.0,86400,86400,1.0,86400.0,51110.85975027151,0,52,0,640,0.0,86400,86400,1.0,86400.0,50604.52885894063,147.16425251960754
oa_het_new_7,10,20,2,0.01,3600,2.777777777777778e-06,5,8,2,dp,2,10,0.1,1000,774,16559,16545,0,87,0,1680,0.0,86400,86400,1.0,86400.0,35122.645019042444,0,103,0,2000,0.0,86400,86400,1.0,86400.0,31430.538280228116,0,104,0,1700,0.0,86400,86400,1.0,86400.0,31334.63619383868,0,116,0,2430,0.0,86400,86400,1.0,86400.0,20215.197122346657,614.3890500068665
oa_het_new_8,10,1,2,5,86400,2.7777777777777776e-07,5,16,2,dp,2,10,0.1,1000,81,21796,21796,0,61,0,2050,0.0,86400,86400,1.0,86400.0,22201.663968360568,0,61,0,2140,0.0,86400,86400,1.0,86400.0,22115.290087177375,0,61,0,2000,0.0,86400,86400,1.0,86400.0,22110.233953671654,0,61,0,2170,0.0,86400,86400,1.0,86400.0,21512.330102362106,898.8625907897949
oa_het_new_9,5,20,2,1,43200,2.7777777777777776e-07,1,4,4,dp,2,10,0.1,1000,16,1783,1783,0,6,0,140,0.0,86400,86400,1.0,86400.0,49553.74607449857,0,6,0,140,0.0,86400,86400,1.0,86400.0,49797.99646607386,0,6,0,140,0.0,86400,86400,1.0,86400.0,49797.99646607386,0,7,0,150,0.0,86400,86400,1.0,86400.0,49150.948785077955,149.9994010925293
oa_het_new_10,60,5,2,0.1,3600,2.7777777777777776e-07,2,1,2,dp,2,10,0.1,1000,29,19981,19989,0,9,0,190,0.0,86400,86400,1.0,86400.0,7487.2169398928645,0,8,0,250,0.0,86400,86400,1.0,72790.9,6620.233607604263,0,8,0,140,0.0,86400,86400,1.0,72790.9,6604.582749153767,0,9,0,420,0.0,86400,86400,1.0,14060.0,3096.3250182714914,720.7683138847351
oa_het_new_11,30,10,2,0.01,21600,2.7777777777777776e-07,10,8,3,dp,2,10,0.1,1000,153,24934,25532,0,70,0,1300,0.0,86400,86400,1.0,86400.0,33272.76192166297,0,80,0,2770,0.0,86400,86400,1.0,86400.0,28631.317782046175,0,83,0,1300,0.0,86400,86400,1.0,86400.0,28228.79770110852,0,140,0,8120,0.0,86400,86400,1.0,86400.0,7086.834979729936,2774.3390233516693
oa_het_new_12,5,5,2,5,21600,2.777777777777778e-08,5,4,2,dp,2,10,0.1,1000,10,7941,7941,0,4,0,60,0.0,86400,86400,1.0,86400.0,48465.09115018986,0,4,0,60,0.0,86400,86400,1.0,86400.0,48595.68513142575,0,4,0,60,0.0,86400,86400,1.0,86400.0,48595.68513142575,0,4,0,60,0.0,86400,86400,1.0,86400.0,48357.74064491323,428.6324408054352
oa_het_new_13,10,10,2,1,3600,2.777777777777778e-08,1,16,3,dp,2,10,0.1,1000,2,6697,6697,0,1,0,40,0.0,86400,86400,1.0,86400.0,21086.099450039765,0,1,0,40,0.0,86400,86400,1.0,86400.0,21334.886269401977,0,1,0,40,0.0,86400,86400,1.0,86400.0,21334.886269401977,0,1,0,40,0.0,86400,86400,1.0,86400.0,21012.660675630308,176.70698404312134
oa_het_new_14,30,1,2,0.1,43200,2.777777777777778e-08,2,8,2,dp,2,10,0.1,1000,2,13204,13204,0,2,0,30,0.0,86400,86400,1.0,86400.0,11070.512204095128,0,1,0,30,0.0,86400,86400,1.0,86400.0,10583.505280018073,0,1,0,20,0.0,86400,86400,1.0,86400.0,10583.114583369043,0,2,0,40,0.0,86400,86400,1.0,86400.0,7067.341161158143,399.2575831413269
oa_het_new_15,60,20,2,0.01,86400,2.777777777777778e-08,10,1,4,dp,2,10,0.1,1000,16,80207,80647,0,16,0,950,0.0,86400,86400,1.0,86400.0,14985.385256395346,0,16,0,2390,0.0,86400,86400,1.0,86400.0,11239.605256321736,0,16,0,1230,0.0,86400,86400,1.0,86400.0,11190.829355091882,0,16,0,3850,0.0,86400,86400,1.0,14060.0,3094.661154736441,6202.236256599426
oa_het_new_16,60,10,2,5,43200,2.777777777777778e-05,1,8,2,dp,2,10,0.1,1000,1501,25915,26106,0,1393,0,231520,0.0,86400,86400,1.0,86400.0,3607.1085072541996,0,1394,0,224730,0.0,86400,86400,1.0,86400.0,3957.740724482535,0,1394,0,209960,0.0,86400,86400,1.0,86400.0,3953.414065300855,0,1393,0,286940,0.0,86400,86400,1.0,86400.0,3736.524354342564,557.7326023578644
oa_het_new_17,30,5,2,1,86400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,7732,37841,37127,0,6768,0,481360,0.0,86400,86400,1.0,86400.0,11184.149593186432,0,6779,0,502580,0.0,86400,86400,1.0,86400.0,10748.9603767635,0,6885,0,447160,0.0,86400,86400,1.0,84909.7,9902.865076555056,0,7073,0,829360,0.0,86400,86400,1.0,32590.0,6631.781917161343,2358.096043109894
