name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test_fixed_het,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1590,72880,51486,343387,284,1318,390,997,833,1510,12795.690081119537
het_experiment_fixed_num_0,60,5,2,1,21600,2.777777777777778e-06,10,4,2,heuristic,encouraged,1640,32797,24756,153667,403,1095,451,815,1459,1486,6063.8036189079285
het_experiment_fixed_num_1,60,5,2,1,21600,2.777777777777778e-06,10,4,4,heuristic,encouraged,1623,131516,91431,619635,0,1485,0,1212,0,1560,47537.01438450813
het_experiment_fixed_num_2,60,5,2,10,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1591,125029,79665,354331,544,1445,514,1141,859,1503,24213.078568458557
het_experiment_fixed_num_3,60,5,2,5,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1589,125060,81356,346313,541,1413,507,1135,834,1470,30192.575801372528
het_experiment_fixed_num_4,60,5,2,0.1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1537,24818,20622,352002,24,856,127,659,840,1443,5985.78160071373
het_experiment_fixed_num_5,60,5,2,0.01,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1507,4889,5127,344403,0,215,1,212,844,1427,3483.8958151340485
het_experiment_fixed_num_6,60,5,2,1,86400,2.777777777777778e-06,10,4,3,heuristic,encouraged,1585,74020,52677,348518,805,1382,846,1099,1220,1479,11460.455402851105
het_experiment_fixed_num_7,60,5,2,1,43200,2.777777777777778e-06,10,4,3,heuristic,encouraged,1542,72794,51365,340299,665,1343,778,1062,1211,1450,11205.747639894485
het_experiment_fixed_num_8,60,5,2,1,10800,2.777777777777778e-06,10,4,3,heuristic,encouraged,1548,73066,53546,338545,15,1000,36,764,116,1284,21083.68813920021
het_experiment_fixed_num_9,60,5,2,1,5400.0,2.777777777777778e-06,10,4,3,heuristic,encouraged,1535,73197,58626,345235,3,586,15,501,78,845,13315.02097940445
