name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_0,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.1,500,7848,21377,21081,143,4724,143.0,48635,0.018221202854230376,14050.099999999999,2341.6394794017174,1.0,86400.0,17790.366428839443,162,4846,162.0,45855,0.020642201834862386,14104.199999999997,2544.4479340557773,1.0,86400.0,17533.8954092753,1781.924731016159
grid_search_1,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.1,1000,7848,21019,20743,143,4620,143.0,47820,0.018221202854230376,14030.800000000003,2276.0664921257276,1.0,86400.0,17787.51010751903,150,4814,150.0,44580,0.0191131498470948,14030.800000000003,2535.683516483517,1.0,86400.0,17331.27496867198,1301.2780079841614
grid_search_2,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.1,5000,7848,20613,20338,131,4383,131.0,42405,0.016692150866462793,14275.500000000007,2315.267316759057,1.0,86400.0,17394.2132761208,139,4505,139.0,41210,0.017711518858307847,14275.500000000007,2513.059889750537,1.0,86400.0,17099.065866952773,1246.293606519699
grid_search_3,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.5,500,7848,21501,21308,98,4998,98.0,43430,0.012487257900101937,14030.800000000003,2635.531407368142,1.0,86400.0,17642.83046880309,114,5015,114.0,41470,0.01452599388379205,14030.800000000003,2888.835725677831,1.0,86400.0,17565.143662530685,1369.4061725139618
grid_search_4,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.5,1000,7848,21726,21503,124,4989,124.0,45275,0.01580020387359837,14030.800000000003,2566.3146530888466,1.0,86400.0,18174.098502892073,130,4989,130.0,42685,0.016564729867482163,14041.100000000002,2790.913086913087,1.0,86400.0,17843.52471782862,1341.501778125763
grid_search_5,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,0.5,5000,7848,21272,21200,138,4487,138.0,43325,0.017584097859327217,14275.500000000007,2347.8238085331905,1.0,86400.0,18656.501987204178,148,4596,148.0,42020,0.018858307849133536,14275.500000000007,2598.2710532710535,1.0,86400.0,18271.269388936737,1274.0237896442413
grid_search_6,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,1.0,500,7848,21374,21242,85,5005,85.0,41605,0.01083078491335372,14030.800000000003,2830.863254392666,1.0,86400.0,17740.733516993198,96,4988,96.0,40450,0.012232415902140673,14278.899999999998,2945.4220779220777,1.0,86400.0,17751.46627740284,1456.2748539447784
grid_search_7,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,1.0,1000,7848,21660,21461,105,5015,105.0,43410,0.013379204892966361,14041.100000000002,2692.8212739641313,1.0,86400.0,18207.8094603369,111,5014,111.0,41390,0.014143730886850153,14041.100000000002,2897.6670176670173,1.0,86400.0,18088.92255679677,1344.4416148662567
grid_search_8,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,5,1.0,5000,7848,21592,21609,140,4524,140.0,43660,0.01783893985728848,14275.500000000007,2446.4301412872846,1.0,86400.0,19083.28096095093,145,4604,145.0,42395,0.01847604485219164,14275.500000000007,2615.9074839967334,1.0,86400.0,18854.62091177191,1295.1834540367126
grid_search_9,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,500,7848,20842,20654,143,4572,143.0,97960,0.018221202854230376,14050.099999999999,2214.281191756348,1.0,86400.0,18484.494750975115,148,4745,148.0,93070,0.018858307849133536,14030.800000000003,2408.8414288414288,1.0,86400.0,18033.428766031804,1367.424194574356
