name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_0,30,10,2,0.1,21600,2.777777777777778e-05,1,4,3,dp,2,10,0.1,1000,1588,8911,8794,361,1382,361.0,48290,0.22732997481108314,18926.399999999994,3604.558788917809,1.0,48803.5,8423.358850933957,405,1376,405.0,55430,0.25503778337531485,18926.399999999994,3449.9090931554565,1.0,54060.4,8562.928127992165,415,1373,415.0,52110,0.26133501259445846,18926.399999999994,3541.6054817484264,1.0,54060.4,8535.804539605137,538,1426,538.0,86670,0.33879093198992444,19060.0,3193.629107282467,1.0,37540.0,6616.266328807484,262.4616689682007
grid_search_1,30,10,2,0.1,21600,2.777777777777778e-05,2,4,3,dp,2,10,0.1,1000,3107,14974,14668,575,2604,575.0,88200,0.18506598004505953,18612.800000000003,3387.3367946696458,1.0,86400.0,10259.65708521788,661,2575,661.0,97220,0.21274541358223367,18370.300000000003,3341.2415762782475,1.0,86400.0,10472.78407376663,695,2606,695.0,90580,0.22368844544576763,18601.0,3536.2356589138376,1.0,66038.3,10317.644336614927,1043,2807,1043.0,171500,0.33569359510782104,19120.0,3022.989974800926,1.0,86400.0,6638.980093660362,541.2075471878052
grid_search_2,30,10,2,0.1,21600,2.777777777777778e-05,5,4,3,dp,2,10,0.1,1000,7701,28137,27493,974,5925,974.0,157920,0.1264770808985846,16514.199999999997,3525.2319700384783,1.0,86400.0,13167.167525802788,1229,5674,1229.0,176480,0.15958966368004154,15266.3,3514.0516709590115,1.0,86400.0,13940.860931409828,1283,5717,1283.0,163670,0.16660174003376185,15266.3,3726.859020493823,1.0,86400.0,13693.813937918907,2597,6908,2597.0,392630,0.3372289313076224,19820.0,3137.77517576982,1.0,86400.0,6667.573312617512,2054.085650205612
grid_search_3,30,10,2,0.1,21600,2.777777777777778e-05,10,4,3,dp,2,10,0.1,1000,15506,51956,50739,1687,10997,1687.0,296820,0.10879659486650328,20840.899999999994,3457.759560263419,1.0,86400.0,16474.21416167884,1962,10451,1962.0,312300,0.12653166516187284,20840.0,3456.8038989268466,1.0,86400.0,17236.151914621783,2138,10570,2138.0,293280,0.13788211015090931,18886.699999999997,3742.189224414265,1.0,86400.0,16875.373110129764,5200,13978,5200.0,792820,0.3353540564942603,21000.0,3166.3544849075142,1.0,86400.0,6698.739391086071,6991.687524557114
grid_search_4,30,10,2,0.1,21600,2.777777777777778e-06,1,4,3,dp,2,10,0.1,1000,164,8631,8622,39,144,39.0,6150,0.23780487804878048,14842.100000000002,3546.0937443123685,1.0,86400.0,8553.970187652769,40,146,40.0,8500,0.24390243902439024,15253.899999999994,2966.5420192036772,1.0,86400.0,8539.282818894988,41,146,41.0,7290,0.25,15253.899999999994,3070.710459531675,1.0,86400.0,8523.625408666217,54,150,54.0,10440,0.32926829268292684,14970.0,3042.200389899407,1.0,86400.0,6719.657998555756,222.62544894218445
grid_search_5,30,10,2,0.1,21600,2.777777777777778e-06,2,4,3,dp,2,10,0.1,1000,295,14738,14584,64,248,64.0,8740,0.21694915254237288,14884.600000000002,3521.9881497179294,1.0,86400.0,10197.954195549934,89,251,89.0,12910,0.3016949152542373,15228.700000000012,3225.0759126623266,1.0,71487.1,10133.451954007127,92,251,92.0,10850,0.31186440677966104,15228.700000000012,3470.0656575828402,1.0,71487.1,10101.400354196274,115,267,115.0,17330,0.3898305084745763,15000.0,3187.590887723378,1.0,86400.0,6636.403729088537,418.93559765815735
grid_search_6,30,10,2,0.1,21600,2.777777777777778e-06,5,4,3,dp,2,10,0.1,1000,765,28265,28332,103,581,103.0,15950,0.134640522875817,19770.0,3476.625778561815,1.0,86400.0,13496.102909772646,157,590,157.0,24610,0.20522875816993463,17095.300000000003,3291.8906506811454,1.0,86400.0,13250.662542840795,169,593,169.0,20950,0.22091503267973855,18146.5,3631.253535926634,1.0,86400.0,13139.638577012143,258,692,258.0,40850,0.33725490196078434,17370.0,3177.290205799346,1.0,86400.0,6692.45631927277,1394.5709524154663
grid_search_7,30,10,2,0.1,21600,2.777777777777778e-06,10,4,3,dp,2,10,0.1,1000,1559,49385,49346,147,1098,147.0,29010,0.09429121231558692,15288.300000000003,3389.3030656209007,1.0,86400.0,16534.890779444475,257,1091,257.0,41450,0.16484926234765876,15066.299999999988,3250.763821190773,1.0,86400.0,15823.536500555725,270,1105,270.0,36810,0.1731879409878127,15066.299999999988,3561.9836465312765,1.0,86400.0,15570.233301532257,486,1404,486.0,79430,0.31173829377806284,15220.0,3155.7336907726444,1.0,86400.0,6672.542445191725,4213.914213418961
grid_search_8,30,10,2,0.1,21600,2.7777777777777776e-07,1,4,3,dp,2,10,0.1,1000,22,8607,8618,4,20,4.0,770,0.18181818181818182,13673.499999999993,2564.2105263157896,1.0,43186.79999999999,8457.809129779149,5,20,5.0,1170,0.22727272727272727,13709.599999999999,1828.8,1.0,43400.4,8438.246833861407,5,20,5.0,880,0.22727272727272727,13709.599999999999,2086.153846153846,1.0,43400.4,8428.520961846009,5,20,5.0,1310,0.22727272727272727,13700.0,1766.3076923076922,1.0,29050.0,6625.015150769715,224.9188301563263
grid_search_9,30,10,2,0.1,21600,2.7777777777777776e-07,2,4,3,dp,2,10,0.1,1000,23,13906,13883,4,17,4.0,510,0.17391304347826086,14414.899999999998,3471.4285714285716,1.0,86400.0,10281.216386686192,5,17,5.0,670,0.21739130434782608,13935.800000000003,3238.8449197860964,1.0,86400.0,10000.001166007121,5,17,5.0,590,0.21739130434782608,13935.800000000003,3380.571428571429,1.0,86400.0,10000.37722386136,6,17,6.0,820,0.2608695652173913,13840.0,3059.0374331550806,1.0,86400.0,6646.910217088909,402.66245675086975
grid_search_10,30,10,2,0.1,21600,2.7777777777777776e-07,5,4,3,dp,2,10,0.1,1000,84,27623,27763,10,70,10.0,1570,0.11904761904761904,14660.600000000006,3702.0,1.0,86400.0,13693.3601523972,22,70,22.0,3450,0.2619047619047619,14707.500000000002,2950.505383944119,1.0,86400.0,12733.296435636956,22,69,22.0,2630,0.2619047619047619,14707.500000000002,3270.8640092760065,1.0,86400.0,12694.16792628984,29,77,29.0,4540,0.34523809523809523,14970.0,2773.183542611855,1.0,86400.0,6660.08674758592,1282.8589115142822
grid_search_11,30,10,2,0.1,21600,2.7777777777777776e-07,10,4,3,dp,2,10,0.1,1000,164,50596,50659,19,122,19.0,2930,0.11585365853658537,14977.399999999994,3372.3675770213163,1.0,86400.0,16380.99307981286,33,118,33.0,5120,0.20121951219512196,14991.300000000003,3180.876953009015,1.0,86400.0,15227.656304974811,34,119,34.0,4100,0.2073170731707317,14991.300000000003,3545.473056355409,1.0,86400.0,15194.452620920654,54,151,54.0,7600,0.32926829268292684,14920.0,3249.3706659823597,1.0,86400.0,6635.366962750201,4016.9720528125763
