name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,diff_perc_cov_all,diff_coobs_count,diff_avg_rev,init_perc_cov_possible,replan_perc_cov_poss,replan_het_perc_cov_poss,"diff in hom/het, perc_cov_poss",diff in perc_cov_possible,,"diff in hom-het, coobs",vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_0,30,10,2,0.1,21600,2.78E-05,1,4,3,dp,2,10,0.1,1000,1588,8911,8794,361,1382,361,48290,0.227329975,18926.4,3604.558789,1,48803.5,8423.358851,405,1376,405,55430,0.255037783,18926.4,3449.909093,1,54060.4,8562.928128,415,1373,415,52110,0.261335013,18926.4,3541.605482,1,54060.4,8535.80454,0.027707809,44,-154.6496958,0.671003717,0.752788104,0.771375465,0.018587361,0.081784387,,10,538,1426,538,86670,0.338790932,19060,3193.629107,1,37540,6616.266329,262.461669
grid_search_1,30,10,2,0.1,21600,2.78E-05,2,4,3,dp,2,10,0.1,1000,3107,14974,14668,575,2604,575,88200,0.18506598,18612.8,3387.336795,1,86400,10259.65709,661,2575,661,97220,0.212745414,18370.3,3341.241576,1,86400,10472.78407,695,2606,695,90580,0.223688445,18601,3536.235659,1,66038.3,10317.64434,0.027679434,86,-46.09521839,0.551294343,0.633748802,0.666347076,0.032598274,0.082454458,,34,1043,2807,1043,171500,0.335693595,19120,3022.989975,1,86400,6638.980094,541.2075472
grid_search_2,30,10,2,0.1,21600,2.78E-05,5,4,3,dp,2,10,0.1,1000,7701,28137,27493,974,5925,974,157920,0.126477081,16514.2,3525.23197,1,86400,13167.16753,1229,5674,1229,176480,0.159589664,15266.3,3514.051671,1,86400,13940.86093,1283,5717,1283,163670,0.16660174,15266.3,3726.85902,1,86400,13693.81394,0.033112583,255,-11.18029908,0.375048132,0.473238352,0.494031575,0.020793223,0.098190219,,54,2597,6908,2597,392630,0.337228931,19820,3137.775176,1,86400,6667.573313,2054.08565
grid_search_3,30,10,2,0.1,21600,2.78E-05,10,4,3,dp,2,10,0.1,1000,15506,51956,50739,1687,10997,1687,296820,0.108796595,20840.9,3457.75956,1,86400,16474.21416,1962,10451,1962,312300,0.126531665,20840,3456.803899,1,86400,17236.15191,2138,10570,2138,293280,0.13788211,18886.7,3742.189224,1,86400,16875.37311,0.01773507,275,-0.955661337,0.324423077,0.377307692,0.411153846,0.033846154,0.052884615,,176,5200,13978,5200,792820,0.335354056,21000,3166.354485,1,86400,6698.739391,6991.687525
grid_search_4,30,10,2,0.1,21600,2.78E-06,1,4,3,dp,2,10,0.1,1000,164,8631,8622,39,144,39,6150,0.237804878,14842.1,3546.093744,1,86400,8553.970188,40,146,40,8500,0.243902439,15253.9,2966.542019,1,86400,8539.282819,41,146,41,7290,0.25,15253.9,3070.71046,1,86400,8523.625409,0.006097561,1,-579.5517251,0.722222222,0.740740741,0.759259259,0.018518519,0.018518519,,1,54,150,54,10440,0.329268293,14970,3042.20039,1,86400,6719.657999,222.6254489
grid_search_5,30,10,2,0.1,21600,2.78E-06,2,4,3,dp,2,10,0.1,1000,295,14738,14584,64,248,64,8740,0.216949153,14884.6,3521.98815,1,86400,10197.9542,89,251,89,12910,0.301694915,15228.7,3225.075913,1,71487.1,10133.45195,92,251,92,10850,0.311864407,15228.7,3470.065658,1,71487.1,10101.40035,0.084745763,25,-296.9122371,0.556521739,0.773913043,0.8,0.026086957,0.217391304,,3,115,267,115,17330,0.389830508,15000,3187.590888,1,86400,6636.403729,418.9355977
grid_search_6,30,10,2,0.1,21600,2.78E-06,5,4,3,dp,2,10,0.1,1000,765,28265,28332,103,581,103,15950,0.134640523,19770,3476.625779,1,86400,13496.10291,157,590,157,24610,0.205228758,17095.3,3291.890651,1,86400,13250.66254,169,593,169,20950,0.220915033,18146.5,3631.253536,1,86400,13139.63858,0.070588235,54,-184.7351279,0.399224806,0.608527132,0.65503876,0.046511628,0.209302326,,12,258,692,258,40850,0.337254902,17370,3177.290206,1,86400,6692.456319,1394.570952
grid_search_7,30,10,2,0.1,21600,2.78E-06,10,4,3,dp,2,10,0.1,1000,1559,49385,49346,147,1098,147,29010,0.094291212,15288.3,3389.303066,1,86400,16534.89078,257,1091,257,41450,0.164849262,15066.3,3250.763821,1,86400,15823.5365,270,1105,270,36810,0.173187941,15066.3,3561.983647,1,86400,15570.2333,0.07055805,110,-138.5392444,0.302469136,0.528806584,0.555555556,0.026748971,0.226337449,,13,486,1404,486,79430,0.311738294,15220,3155.733691,1,86400,6672.542445,4213.914213
grid_search_8,30,10,2,0.1,21600,2.78E-07,1,4,3,dp,2,10,0.1,1000,22,8607,8618,4,20,4,770,0.181818182,13673.5,2564.210526,1,43186.8,8457.80913,5,20,5,1170,0.227272727,13709.6,1828.8,1,43400.4,8438.246834,5,20,5,880,0.227272727,13709.6,2086.153846,1,43400.4,8428.520962,0.045454545,1,-735.4105263,0.8,1,1,0,0.2,,0,5,20,5,1310,0.227272727,13700,1766.307692,1,29050,6625.015151,224.9188302
grid_search_9,30,10,2,0.1,21600,2.78E-07,2,4,3,dp,2,10,0.1,1000,23,13906,13883,4,17,4,510,0.173913043,14414.9,3471.428571,1,86400,10281.21639,5,17,5,670,0.217391304,13935.8,3238.84492,1,86400,10000.00117,5,17,5,590,0.217391304,13935.8,3380.571429,1,86400,10000.37722,0.043478261,1,-232.5836516,0.666666667,0.833333333,0.833333333,0,0.166666667,,0,6,17,6,820,0.260869565,13840,3059.037433,1,86400,6646.910217,402.6624568
