name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,sharing_horizon,planning_horizon,events,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,replan_het_event_obs_count,replan_het_events_seen,replan_het_event_reward,replan_het_planner_reward,replan_het_perc_cov,replan_het_max_rev,replan_het_avg_rev,replan_het_all_perc_cov,replan_het_all_max_rev,replan_het_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_horizon_0,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,500,1000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,155,4620,155.0,101130,0.019987105093488073,14268.5,2284.203189599774,1.0,86400.0,19737.417993996165,73,4173,73.0,73750,0.009413281753707285,14058.300000000003,2450.3397971891122,1.0,86400.0,19229.88930097601,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,4371.2849361896515
grid_search_horizon_1,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,1000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,139,4498,139.0,96880,0.017923920051579625,14268.5,2228.9888421932883,1.0,86400.0,18488.616383520122,172,4709,172.0,89710,0.022179239200515795,14268.5,2530.9019229744267,1.0,86400.0,17701.112112763298,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,2250.83319067955
grid_search_horizon_2,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,5000,1000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,18,1405,18.0,18140,0.0023210831721470018,10253.900000000009,3273.3333333333335,1.0,86400.0,47244.09797609798,13,1423,13.0,17870,0.0016763378465506126,10088.4,3452.3076923076924,1.0,86400.0,46239.22684722684,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,2444.0918123722076
grid_search_horizon_3,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,500,5000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,176,4724,176.0,102820,0.02269503546099291,14119.400000000009,2336.6983684764436,1.0,86400.0,19368.827810339037,101,4414,101.0,80140,0.013023855577047067,14119.400000000009,2620.26488363122,1.0,86400.0,18343.652132865194,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,3593.447788476944
grid_search_horizon_4,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,5000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,165,4695,165.0,102990,0.02127659574468085,14130.300000000003,2272.1855736907805,1.0,86400.0,18595.054372034654,128,4403,128.0,80970,0.01650548033526757,14130.300000000003,2534.4354542516307,1.0,86400.0,17689.915964875134,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,2534.5950157642365
grid_search_horizon_5,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,5000,5000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,125,4298,125.0,85860,0.016118633139909737,14072.0,2331.718942110521,1.0,86400.0,17731.392049589784,129,4463,129.0,81450,0.016634429400386848,13854.5,2428.572667642435,1.0,86400.0,17018.5822035681,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,2098.3116793632507
grid_search_horizon_6,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,500,10000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,181,4772,181.0,103150,0.023339780786589298,13982.8,2364.7884711973115,1.0,86400.0,18813.655880845163,107,4491,107.0,84320,0.013797549967762734,13988.599999999991,2445.8468634169567,1.0,86400.0,18149.385986728154,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,4453.706856250763
grid_search_horizon_7,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,10000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,173,4703,173.0,103380,0.022308188265635073,14283.5,2341.568509694998,1.0,86400.0,18407.763910934045,108,4440,108.0,83290,0.013926499032882012,13975.3,2456.6056166056164,1.0,86400.0,17602.211385875165,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,3297.3387422561646
grid_search_horizon_8,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,5000,10000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,140,4423,140.0,96290,0.018052869116698903,14283.5,2289.079760575559,1.0,86400.0,17834.612345047364,74,4190,74.0,76290,0.009542230818826564,13860.099999999991,2522.7111521229167,1.0,86400.0,17356.456065206912,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,2345.0017397403717
grid_search_horizon_9,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,500,20000,7755,91,4750,91.0,84300,0.011734364925854288,13992.699999999997,2620.1056086770373,1.0,86400.0,18052.14104672828,154,4938,154.0,101660,0.019858156028368795,14135.0,2369.130090688532,1.0,86400.0,20060.445867083574,117,4782,117.0,90110,0.015087040618955513,13977.8,2601.710767864614,1.0,86400.0,19104.53090843181,477,6867,477.0,265030,0.06150870406189555,14060.0,1389.908324006751,1.0,43100.0,6612.120240358624,16026.822514772415
