sat,lat,lon,rise_time,set_time,incidence_angle,reward,s,p,i,t,obs
sat24,0.7231771755638504,2.447230863976369,1.0,4.0,0.18727382873899157,1,0,9,1321,1,1
sat24,0.775345066905961,2.41918342289682,6.0,8.0,0.2106612407157156,1,0,10,2404,5,1
sat24,0.9284278955983836,2.420335340203137,19.0,22.0,0.2579596634447619,1,0,10,1722,19,1
sat24,1.1014772909336212,2.398099845532729,35.0,38.0,0.22968532956245377,1,0,10,2587,35,1
sat24,1.1144276339834192,2.4066519588675006,36.0,39.0,0.23422318561763902,1,0,10,796,36,1
sat24,1.2971810599597455,2.3562992099474647,53.0,56.0,0.23020892833805207,1,0,10,2242,53,1
sat24,1.3012302238243725,2.330765042990788,53.0,56.0,0.32148964821735554,1,0,11,875,53,1
sat24,1.310881894587901,2.3372925743932464,54.0,57.0,0.28832839242946323,1,0,10,3225,54,1
sat24,1.3470625699817433,2.388901960374718,57.0,60.0,0.23771384412162766,1,0,10,345,57,1
sat24,1.356085922214554,2.3167500490972732,58.0,61.0,0.3052580861738082,1,0,10,2914,58,1
sat24,1.369036265264352,2.4806888257371007,59.0,62.0,0.31293753488258325,1,0,10,365,59,1
sat24,1.4218499284297004,2.402672608172954,64.0,67.0,0.20507618710933373,1,0,9,441,64,1
sat24,1.4270335563081238,2.3060337274900276,65.0,67.0,0.20943951023931953,1,0,9,3057,64,1
sat24,1.4412405364193575,2.526678251527151,66.0,69.0,0.2801253449450899,1,0,10,655,66,1
sat24,1.4478727875769357,2.5224894613223645,66.0,69.0,0.324107642095347,1,0,11,172,66,1
sat24,1.4701606421249034,2.3312886417663856,68.0,71.0,0.26633724385433466,1,0,10,406,68,1
sat24,1.4782240632691173,2.3009199127816844,69.0,72.0,0.244695161129605,1,0,10,98,69,1
sat24,1.4778924507112385,2.5785494368964224,69.0,72.0,0.3127630019573839,1,0,10,1947,69,1
sat24,1.4870205226991686,2.202797502234563,70.0,73.0,0.2818706741970842,1,0,10,308,70,1
sat24,1.4883644262232045,2.552386951409028,70.0,73.0,0.27296949501191314,1,0,10,388,70,1
sat24,1.5110537064991305,2.2741291087635718,72.0,75.0,0.23422318561763902,1,0,10,2047,72,1
sat24,1.5163420541326733,2.777412251868656,73.0,76.0,0.31607912753617307,1,0,11,2142,73,1
sat24,1.5291702241348317,2.540850325053345,74.0,77.0,0.1884955592153876,1,0,9,2795,74,1
sat24,1.5283150128013545,2.7108453941975923,74.0,77.0,0.24626595745639987,1,0,10,6,74,1
sat24,1.553185954642274,-2.9007721233996153,77.0,80.0,0.23771384412162766,1,0,10,1120,77,1
sat24,1.5516675181930386,-2.6618889086791517,77.0,80.0,0.2919935838586513,1,0,10,3036,77,1
sat24,1.5650716468483552,-0.10187486843890901,78.0,81.0,0.19408061282176942,1,0,9,3229,78,1
sat24,1.5532732211048734,-1.5155392026767562,79.0,82.0,0.21467549799530256,1,0,10,1029,79,1
sat24,1.5453319730082993,-1.4616608886676912,79.0,82.0,0.30805061297699915,1,0,10,3164,79,1
sat24,1.5325561628837008,-0.7596894635155719,81.0,84.0,0.19582594207376378,1,0,9,679,81,1
sat24,1.5191345809358645,-0.8194146305188177,82.0,85.0,0.22654373690886398,1,0,10,439,82,1
sat24,1.5240389561339684,-0.8284554360441483,82.0,85.0,0.16807520696705394,1,0,9,648,82,1
sat24,1.5211766161606979,-0.6036919349723187,82.0,85.0,0.21467549799530256,1,0,10,3192,82,1
sat24,1.51126314600937,-0.7981914268145667,83.0,86.0,0.18727382873899157,1,0,9,476,83,1
sat24,1.48970832974724,-0.817791474314463,85.0,88.0,0.18605209826259553,1,0,9,2580,85,1
sat24,1.4631095119468465,-0.882455923100853,87.0,90.0,0.2727949620867137,1,0,10,2173,87,1
sat24,1.4673681153217126,-0.946125534213606,87.0,90.0,0.28047441079548874,1,0,10,1727,87,1
sat24,1.4650817340016,-0.6145653362122434,87.0,90.0,0.2738421596379103,1,0,10,2981,87,1
sat24,1.4569834062723463,-0.6277600253573205,88.0,91.0,0.2495820830351891,1,0,10,1931,88,1
sat24,1.3119639987241374,-0.7604399550939294,101.0,104.0,0.19460421159736774,1,0,9,3220,100,1
sat24,1.297949004830623,-0.781174466607622,102.0,105.0,0.22706733568446225,1,0,10,1262,101,1
sat24,1.2843703432501072,-0.7917511618747076,103.0,106.0,0.26197392072434883,1,0,10,258,102,1
sat24,1.2909502345301256,-0.7336666043683364,103.0,106.0,0.22479840765686968,1,0,10,3098,102,1
sat24,1.2814381901067569,-0.7886270225136378,104.0,107.0,0.1637118838370681,1,0,9,1477,103,1
sat24,1.187696555982141,-0.7659202889451915,112.0,115.0,0.23404865269243957,1,0,10,695,111,1
sat24,1.1704177963873974,-0.7958875922019342,114.0,117.0,0.17453292519943295,1,0,9,1002,113,1
sat24,1.1402236003278956,-0.800861780570118,116.0,119.0,0.273318560862312,1,0,10,1021,115,1
sat24,1.1125950382688252,-0.8000938356992405,119.0,122.0,0.2076941809873252,1,0,9,2222,118,1
sat24,0.9911550289150598,-0.8030434421351109,130.0,133.0,0.20106192982974677,1,0,9,1109,129,1
sat24,0.955079073276337,-0.7692189612314608,133.0,136.0,0.29949849964222697,1,0,10,1010,132,1
sat24,0.9432981008253752,-0.7982263333996066,134.0,137.0,0.23788837704682714,1,0,10,758,133,1
