name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,diff_perc_cov,diff_num_coobs,diff_avg_rev,init percent coverage of possible events,replan percent coverage of possible events,diff percent coverage of possible events,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_112,60,1,2,0.01,21600,2.78E-06,1,1,4,dp,2,10,148,12117,13374,57067,20,140,20,6060,0.135135135,10818,2301.888312,1,86400,6569.828239,54,143,54,16000,0.364864865,15881,1882.246687,1,31932,4744.738136,0.22972973,34,-419.6416247,0.25974026,0.701298701,0.441558442,77,143,77,28570,0.52027027,14000,1526.128771,1,10530,1766.901689,683.4773533
oa_het_115,10,1,2,0.01,21600,2.78E-06,1,8,2,dp,2,10,159,1356,1389,2466,12,51,12,680,0.075471698,20928,6600,1,86400,41871.82497,18,50,18,910,0.113207547,20457,5744.761905,1,86400,41042.70357,0.037735849,6,-855.2380952,0.48,0.72,0.24,25,57,25,1090,0.157232704,20600,5717.828571,1,86400,33607.60792,50.82569027
oa_het_153,10,1,2,0.01,43200,2.78E-05,5,4,3,dp,2,10,7815,8003,8078,24353,289,4124,289,71540,0.036980166,29603,7733.445643,1,86400,39197.9985,439,3983,439,82240,0.056174024,30880,7317.036427,1,86400,41076.44432,0.019193858,150,-416.4092168,0.211102995,0.320672023,0.109569028,1369,5931,1369,216160,0.175175944,38150,6008.256072,1,86400,20851.3884,562.8396933
oa_het_159,60,1,2,0.01,21600,2.78E-07,5,1,4,dp,2,10,73,27200,28685,285960,3,51,3,1430,0.04109589,14950,3140,1,86400,14020.50661,20,63,20,7070,0.273972603,10210,1456.996412,1,86400,10600.52059,0.232876712,17,-1683.003588,0.078947368,0.526315789,0.447368421,38,70,38,15080,0.520547945,10350,1360.055685,1,10570,1763.500545,3213.932442
oa_het_16,30,1,2,0.01,21600,2.78E-08,5,8,3,dp,2,10,4,12138,12899,83528,0,2,0,50,0,86400,86400,1,86400,28580.79664,1,4,1,180,0.25,9323,1800,1,86400,27373.38594,0.25,1,-84600,0,1,1,1,4,1,220,0.25,12100,1661.538462,1,86400,7068.097619,813.4429092
oa_het_160,30,1,2,0.01,43200,2.78E-06,1,4,3,dp,2,10,141,4542,5225,16300,27,119,27,3960,0.191489362,31750,6272.097983,1,86400,17283.07258,67,120,67,8130,0.475177305,31196,5885.772477,1,86400,13361.34472,0.283687943,40,-386.325506,0.278350515,0.690721649,0.412371134,97,130,97,13930,0.687943262,29050,5893.216143,1,29060,6586.725644,198.8743982
oa_het_185,60,1,2,0.01,43200,2.78E-08,10,8,3,dp,2,10,16,26711,24741,350409,2,11,2,240,0.125,20258,7800,1,86400,26212.91553,6,10,6,1280,0.375,13601,3608.391608,1,86400,28355.61921,0.25,4,-4191.608392,0.166666667,0.5,0.333333333,12,16,12,2950,0.75,16970,3236.751144,1,86400,3535.310583,5471.681608
oa_het_198,30,1,2,0.01,43200,2.78E-07,5,1,2,dp,2,10,80,4256,4902,30949,4,27,4,340,0.05,32252,12600,1,86400,51271.6514,15,29,15,1140,0.1875,40330,8676.664512,1,86400,49782.62216,0.1375,11,-3923.335488,0.088888889,0.333333333,0.244444444,45,63,45,2600,0.5625,41440,10128.81213,1,64290,13575.39376,295.6527135
oa_het_34,60,1,2,0.01,3600,2.78E-08,5,4,2,dp,2,10,9,7895,8063,78248,0,1,0,10,0,86400,86400,1,86400,35756.53714,0,1,0,10,0,86400,86400,1,86400,36565.13387,0,0,0,0,0,0,3,3,3,100,0.333333333,2210,900,1,86400,6607.558161,766.3499386
oa_het_53,10,1,2,0.01,43200,2.78E-05,1,1,4,dp,2,10,1563,4707,5005,7809,210,1315,210,43190,0.134357006,32362,4929.425293,1,86400,16022.72149,268,1324,268,51840,0.171465131,32703,4802.699973,1,86400,15060.56543,0.037108125,58,-126.72532,0.564516129,0.720430108,0.155913978,372,1393,372,70590,0.238003839,32420,4835.462807,1,43000,11008.78895,402.2055731
