name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_6,30,10,2,0.01,3600,2.7777777777777776e-07,1,1,2,dp,2,10,11,1896,2448,6332,0,2,0,20,0.0,86400,86400,1.0,86400.0,32787.13024866951,1,1,1.0,20,0.09090909090909091,2163.0,1200.0,1.0,86400.0,24379.777391576168,2,2,2.0,70,0.18181818181818182,1730.0,810.0,1.0,64240.0,13302.3613526504,21.219086170196533
oa_het_7,30,1,2,0.1,43200,2.777777777777778e-08,5,8,4,dp,2,10,11,50193,49762,148019,4,10,4.0,670,0.36363636363636365,10865.800000000003,3699.5798319327732,1.0,86400.0,8743.172666540353,7,10,7.0,2020,0.6363636363636364,21568.399999999994,3610.031397174254,1.0,86400.0,8626.56447672818,9,11,9.0,2320,0.8181818181818182,21850.0,3422.459417605049,1.0,86400.0,4411.071343820781,6117.2925345897675
oa_het_8,30,1,2,5,3600,2.7777777777777776e-07,10,4,4,dp,2,10,147,154073,148181,283915,0,54,0,1400,0.0,86400,86400,1.0,86400.0,7234.078386353515,0,54,0,1630,0.0,86400,86400,1.0,86400.0,7414.85803208568,0,62,0,2080,0.0,86400,86400,1.0,86400.0,3939.8722237655343,33714.84689927101
oa_het_9,10,10,2,0.1,43200,2.777777777777778e-06,5,1,2,dp,2,10,749,8312,8140,9851,144,382,144.0,7540,0.19225634178905207,42830.20000000001,11047.770562770564,1.0,86400.0,39419.05117746604,148,375,148.0,7990,0.19759679572763686,42831.5,10724.615654615656,1.0,86400.0,39812.984050424086,202,425,202.0,9050,0.2696929238985314,42840.0,11594.620033431916,1.0,86400.0,34085.53680622917,487.06217789649963
oa_het_10,10,1,2,0.01,21600,2.777777777777778e-08,10,4,4,dp,2,10,14,21139,22918,87196,0,6,0,120,0.0,86400,86400,1.0,86400.0,30125.95485729448,0,7,0,240,0.0,86400,86400,1.0,86400.0,28157.19733696,0,9,0,310,0.0,86400,86400,1.0,86400.0,11105.534872363742,3153.275550365448
oa_het_11,60,5,2,1,21600,2.777777777777778e-05,5,8,2,dp,2,10,7767,33837,30147,78230,4181,6237,4181.0,179210,0.5383030771211536,21549.510000000002,5614.7532553434785,1.0,86400.0,12078.072258618686,3902,5818,3902.0,174170,0.5023818720226599,21429.26999999999,5538.78553190303,1.0,86400.0,14302.255859524623,6740,6923,6740.0,411640,0.867773915282606,21600.0,5108.786779683215,1.0,86400.0,7156.7040868759395,2580.2203452587128
oa_het_12,30,5,2,0.1,3600,2.777777777777778e-08,1,4,3,dp,2,10,5,8710,8641,14230,0,1,0,20,0.0,86400,86400,1.0,86400.0,8591.55507777205,0,1,0,30,0.0,86400,86400,1.0,86400.0,8673.025587920387,0,1,0,30,0.0,86400,86400,1.0,86400.0,6780.146910369018,265.55933022499084
oa_het_13,30,1,2,0.01,21600,2.777777777777778e-05,5,8,3,dp,2,10,7788,12115,12702,84327,199,3917,199.0,63130,0.025552131484334873,17923.0,4013.7471071641926,1.0,86400.0,29102.246299359722,401,3782,401.0,75290,0.051489470980996405,17428.0,4105.612242906995,1.0,86400.0,31058.261890775233,2591,6999,2591.0,435060,0.33269131997945556,20700.0,3152.396399631893,1.0,86400.0,7024.983827311433,1648.768396139145
oa_het_14,10,5,2,5,43200,2.777777777777778e-05,1,1,4,dp,2,10,1546,7607,7521,7692,356,1338,356.0,67710,0.23027166882276842,32428.373999999996,4805.183382119332,1.0,58947.986000000004,11195.829128272657,352,1336,352.0,66970,0.2276843467011643,32430.0,4812.712586038274,1.0,64629.224,11320.7947691972,356,1338,356.0,68020,0.23027166882276842,32430.0,4798.701675139757,1.0,58950.0,11093.006463386464,524.8288154602051
oa_het_15,30,1,2,1,21600,2.777777777777778e-06,10,8,2,dp,2,10,1555,34024,31972,70080,415,1007,415.0,18340,0.26688102893890675,21187.12000000001,6209.084650289469,1.0,86400.0,20638.871602675932,440,965,440.0,23240,0.2829581993569132,21182.729999999996,5680.1425779732845,1.0,86400.0,21819.3015922281,708,1188,708.0,39240,0.4553054662379421,21180.0,5529.594923316886,1.0,86400.0,14053.532474575279,2803.01030254364
