name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_0,10,5,2,0.1,43200,2.777777777777778e-05,5,4,4,dp,2,10,7768,31121,30005,45328,1324,6659,1324.0,284250,0.17044284243048405,39036.29999999999,5065.622445342468,1.0,86400.0,13635.990575200876,1486,6580,1486.0,298960,0.19129763130792998,39036.29999999999,5003.027731505325,1.0,86400.0,14129.431762442091,1906,6821,1906.0,404060,0.24536560247167868,32420.0,4764.636914359925,1.0,86400.0,11238.076130461175,1883.6097209453583
oa_het_1,30,1,2,0.1,21600,2.777777777777778e-05,1,4,4,dp,2,10,1577,16345,15591,26644,402,1490,402.0,86180,0.2549143944197844,12185.699999999997,3044.800238509411,1.0,86400.0,5044.081637429794,467,1487,467.0,100170,0.29613189600507295,18056.100000000006,2878.589900508793,1.0,86400.0,5060.921102200991,637,1500,637.0,140800,0.4039315155358275,18330.0,2858.7426603897184,1.0,86400.0,3966.667139777283,204.56973671913147
oa_het_2,60,1,2,0.01,21600,2.777777777777778e-05,1,1,4,dp,2,10,1639,12208,14067,56346,261,1525,261.0,69520,0.15924344112263575,16242.0,2402.142212900564,1.0,63676.0,6463.357657024137,432,1577,432.0,108170,0.26357535082367295,13875.0,2186.759935927568,1.0,43700.0,4667.711934145533,853,1583,853.0,309200,0.5204392922513728,19770.0,1470.0004411992586,1.0,10530.0,1759.9250550647828,272.11571764945984
oa_het_3,60,5,2,1,43200,2.777777777777778e-06,5,4,3,dp,2,10,784,76581,64480,172556,520,714,520.0,68830,0.6632653061224489,34504.29000000001,4509.685642379151,1.0,86400.0,5676.635735275215,566,714,566.0,103360,0.7219387755102041,36157.95,3726.2054703235863,1.0,86400.0,5898.669939374208,612,732,612.0,151830,0.7806122448979592,36160.0,3195.785871754469,1.0,86400.0,3216.2594384248873,218083.48164200783
oa_het_4,10,5,2,5,21600,2.777777777777778e-05,5,1,4,dp,2,10,7757,35285,34767,39467,635,6056,635.0,189790,0.08186154441149929,11230.142000000007,2888.2052103975147,1.0,86400.0,12767.151421087001,652,6059,652.0,195370,0.08405311331700399,11229.903999999995,2813.139441042752,1.0,86400.0,12731.890826273406,789,6309,789.0,211240,0.1017145803790125,11230.0,2917.6566486404154,1.0,64640.0,11029.954781823219,2096.2399945259094
oa_het_5,10,5,2,0.1,43200,2.7777777777777776e-07,1,4,3,dp,2,10,16,4385,4323,4922,6,14,6.0,1060,0.375,28976.199999999997,5335.695124547584,1.0,86400.0,22260.230996934773,6,14,6.0,1260,0.375,29050.0,5199.710669077758,1.0,86400.0,22479.77419189918,6,14,6.0,1260,0.375,29050.0,5199.710669077758,1.0,86400.0,22013.05796890438,41.8206205368042
oa_het_6,30,10,2,0.01,3600,2.7777777777777776e-07,1,1,2,dp,2,10,11,1896,2330,6332,0,2,0,20,0.0,86400,86400,1.0,86400.0,32787.13024866951,0,1,0,10,0.0,86400,86400,1.0,86400.0,26551.322467116213,2,2,2.0,70,0.18181818181818182,1730.0,810.0,1.0,64240.0,13302.3613526504,27.2805233001709
oa_het_7,30,1,2,0.1,43200,2.777777777777778e-08,5,8,4,dp,2,10,11,50193,45271,148019,4,10,4.0,670,0.36363636363636365,10865.800000000003,3699.5798319327732,1.0,86400.0,8743.172666540353,7,11,7.0,2020,0.6363636363636364,21568.399999999994,3421.084721729883,1.0,86400.0,8409.686804056906,9,11,9.0,2320,0.8181818181818182,21850.0,3422.459417605049,1.0,86400.0,4411.071343820781,2173.7980194091797
oa_het_8,30,1,2,5,3600,2.7777777777777776e-07,10,4,4,dp,2,10,147,154073,148103,283915,0,54,0,1400,0.0,86400,86400,1.0,86400.0,7234.078386353515,0,59,0,1720,0.0,86400,86400,1.0,86400.0,5383.381791718565,0,62,0,2080,0.0,86400,86400,1.0,86400.0,3939.8722237655343,11581.055121421814
oa_het_9,10,10,2,0.1,43200,2.777777777777778e-06,5,1,2,dp,2,10,749,8312,7939,9851,144,382,144.0,7540,0.19225634178905207,42830.20000000001,11047.770562770564,1.0,86400.0,39419.05117746604,162,371,162.0,8160,0.2162883845126836,42831.5,11022.780182780183,1.0,86400.0,41332.664301104734,202,425,202.0,9050,0.2696929238985314,42840.0,11594.620033431916,1.0,86400.0,34085.53680622917,241.11032247543335
oa_het_10,10,1,2,0.01,21600,2.777777777777778e-08,10,4,4,dp,2,10,14,21139,21454,87196,0,6,0,120,0.0,86400,86400,1.0,86400.0,30125.95485729448,0,8,0,250,0.0,86400,86400,1.0,86400.0,32025.1164248216,0,9,0,310,0.0,86400,86400,1.0,86400.0,11105.534872363742,1907.2766485214233
oa_het_11,60,5,2,1,21600,2.777777777777778e-05,5,8,2,dp,2,10,7767,33837,29430,78230,4181,6237,4181.0,179210,0.5383030771211536,21549.510000000002,5614.7532553434785,1.0,86400.0,12078.072258618686,4155,5958,4155.0,190710,0.5349555813055233,21457.809999999998,5462.751657276383,1.0,86400.0,13559.67231808979,6740,6923,6740.0,411640,0.867773915282606,21600.0,5108.786779683215,1.0,86400.0,7156.7040868759395,2070.0670444965363
oa_het_12,30,5,2,0.1,3600,2.777777777777778e-08,1,4,3,dp,2,10,5,8710,8188,14230,0,1,0,20,0.0,86400,86400,1.0,86400.0,8591.55507777205,0,1,0,30,0.0,86400,86400,1.0,86400.0,8627.972752234662,0,1,0,30,0.0,86400,86400,1.0,86400.0,6780.146910369018,81.54265236854553
oa_het_13,30,1,2,0.01,21600,2.777777777777778e-05,5,8,3,dp,2,10,7788,12115,12161,84327,199,3917,199.0,63130,0.025552131484334873,17923.0,4013.7471071641926,1.0,86400.0,29102.246299359722,456,3806,456.0,81340,0.05855161787365177,17428.0,3917.794588427535,1.0,86400.0,32103.415967240708,2591,6999,2591.0,435060,0.33269131997945556,20700.0,3152.396399631893,1.0,86400.0,7024.983827311433,1258.7724664211273
